0: [274.  396.5]
1: [447.  198.9]
2: [426.  226.8]
3: [366.  197.7]
4: [359.  195.7]
5: [401.  218.8]
6: [410.  224.8]
7: [349.  203.7]
8: [419.  231.8]
9: [342.  162.7]
10: [351.  186.7]
11: [407.  214.8]
12: [378.  194.7]
13: [392.  221.8]
14: [354.  199.7]
15: [345.  188.7]
16: [367.  188.7]
17: [359.  207.7]
18: [378.  183.7]
19: [358.  187.7]
20: [401.  228.8]
21: [441.  195.9]
22: [311.  157.6]
23: [452.  164.9]
24: [421.  208.8]
25: [344.  178.7]
26: [410.  205.8]
27: [417.  216.8]
28: [344.  169.7]
29: [439.  264.9]
30: [457.  176.9]
31: [410.  233.8]
32: [410.  155.8]
33: [456.  199.9]
34: [358.  164.7]
35: [367.  172.7]
36: [399.  150.8]
37: [387.  155.8]
38: [405.  241.8]
39: [469.  235.9]
40: [431.  237.8]
41: [453.  190.9]
42: [430.  219.8]
43: [462.  224.9]
44: [466.  207.9]
45: [318.  165.6]
46: [419.  239.8]
47: [351.  170.7]
48: [478.  191.9]
49: [395.  157.8]
50: [439.  112.9]
51: [104.  247.2]
52: [348.  159.7]
53: [467.  194.9]
54: [458.  236.9]
55: [444.  169.9]
56: [392.  146.8]
57: [450.  265.9]
58: [448.  243.9]
59: [434.  190.8]
60: [359.  177.7]
61: [328.  178.6]
62: [334.  159.7]
63: [432.  252.8]
64: [468.  149.9]
65: [442.  140.9]
66: [441.  235.9]
67: [370.  164.7]
68: [431.  211.8]
69: [339.  199.7]
70: [333.  190.7]
71: [455.  274.9]
72: [395.  137.8]
73: [409.  143.8]
74: [366.  157.7]
75: [335.  172.7]
76: [465.  247.9]
77: [453.  254.9]
78: [448.  211.9]
79: [444.  181.9]
80: [395.  209.8]
81: [330.  112.6]
82: [318.  116.6]
83: [417.  125.8]
84: [294.  115.6]
85: [438.   34.9]
86: [458.   32.9]
87: [416.  285.8]
88: [339.  115.7]
89: [491. 110.]
90: [ 68.  259.1]
91: [409.  307.8]
92: [ 41.  270.1]
93: [332.   40.6]
94: [435.  101.8]
95: [301.  125.6]
96: [130.  229.3]
97: [496. 186.]
98: [400.  129.8]
99: [272.  162.5]
100: [397.  184.8]
101: [117.  221.2]
102: [127.  291.2]
103: [318.  177.6]
104: [401.  168.8]
105: [392.  242.8]
106: [101.  276.2]
107: [400.  306.8]
108: [106.  231.2]
109: [446.  327.9]
110: [395.  297.8]
111: [362.  135.7]
112: [357.   74.7]
113: [323.  394.6]
114: [286.  463.6]
115: [374.  325.7]
116: [354.   33.7]
117: [502. 236.]
118: [496.  80.]
119: [350.  113.7]
120: [262.  509.5]
121: [327.  479.6]
122: [ 42.  107.1]
123: [413.  115.8]
124: [397.  317.8]
