0: [280.  243.5]
1: [116.  307.2]
2: [ 85.  378.2]
3: [ 91.  308.2]
4: [ 86.  303.2]
5: [ 93.  352.2]
6: [ 93.  363.2]
7: [ 76.  304.1]
8: [ 93.  373.2]
9: [ 71.  265.1]
10: [ 79.  296.2]
11: [ 86.  363.2]
12: [ 97.  310.2]
13: [ 95.  344.2]
14: [ 84.  308.2]
15: [ 71.  299.1]
16: [ 94.  300.2]
17: [ 76.  311.1]
18: [ 99.  292.2]
19: [ 88.  296.2]
20: [ 99.  356.2]
21: [107.  306.2]
22: [ 50.  271.1]
23: [124.  272.2]
24: [ 70.  369.1]
25: [ 71.  290.1]
26: [ 74.  360.1]
27: [ 79.  369.2]
28: [ 71.  275.1]
29: [104.  405.2]
30: [120.  298.2]
31: [101.  366.2]
32: [112.  279.2]
33: [125.  313.2]
34: [ 81.  267.2]
35: [ 88.  273.2]
36: [104.  256.2]
37: [103.  274.2]
38: [108.  360.2]
39: [138.  377.3]
40: [ 92.  386.2]
41: [122.  306.2]
42: [ 79.  377.2]
43: [133.  371.3]
44: [141.  368.3]
45: [ 55.  278.1]
46: [100.  375.2]
47: [ 78.  274.2]
48: [148.  353.3]
49: [107.  265.2]
50: [ 68.  162.1]
51: [114.  428.2]
52: [ 74.  259.1]
53: [145.  361.3]
54: [133.  382.3]
55: [121.  292.2]
56: [102.  246.2]
57: [111.  413.2]
58: [125.  382.2]
59: [113.  313.2]
60: [ 94.  281.2]
61: [ 60.  289.1]
62: [ 65.  269.1]
63: [100.  396.2]
64: [148.  276.3]
65: [130.  255.3]
66: [122.  368.2]
67: [ 93.  264.2]
68: [ 72.  378.1]
69: [ 87.  288.2]
70: [ 78.  283.2]
71: [102.  415.2]
72: [101.  236.2]
73: [117.  257.2]
74: [ 84.  256.2]
75: [ 64.  282.1]
76: [126.  405.2]
77: [116.  405.2]
78: [ 82.  392.2]
79: [111.  294.2]
80: [ 85.  352.2]
81: [ 23. 226.]
82: [  8. 209.]
83: [ 77.  177.2]
84: [  1. 236.]
85: [317.  100.6]
86: [269.  127.5]
87: [190.  450.4]
88: [ 32.  225.1]
89: [155.  249.3]
90: [106.  471.2]
91: [134.  120.3]
92: [106.  487.2]
