0: [187.  272.4]
1: [159.  493.3]
2: [175.  478.3]
3: [261.    1.5]
4: [260.    9.5]
5: [193.  493.4]
6: [185.  487.4]
7: [264.   13.5]
8: [183.  475.4]
9: [244.   36.5]
10: [252.   17.5]
11: [186.  496.4]
12: [255.  509.5]
13: [201.  491.4]
14: [265.    6.5]
15: [258.   20.5]
16: [252.    5.5]
17: [272.   10.5]
18: [241.  511.5]
19: [251.   12.5]
20: [193.  486.4]
21: [174.  509.3]
22: [289.   48.6]
23: [135.  496.3]
24: [173.  499.3]
25: [253.   26.5]
26: [183.  506.4]
27: [177.  493.3]
28: [247.   30.5]
29: [179.  446.3]
30: [144.  493.3]
31: [189.  477.4]
32: [168.   11.3]
33: [145.  482.3]
34: [234.   22.5]
35: [235.   14.5]
36: [176.   18.3]
37: [181.    7.4]
38: [197.  478.4]
39: [148.  450.3]
40: [177.  467.3]
41: [152.  488.3]
42: [174.  485.3]
43: [151.  461.3]
44: [142.  467.3]
45: [289.   39.6]
46: [187.  468.4]
47: [242.   25.5]
48: [132.  456.3]
49: [187.   15.4]
50: [121.   43.2]
51: [444.  248.9]
52: [238.   35.5]
53: [134.  477.3]
54: [157.  454.3]
55: [144.  501.3]
56: [180.   27.4]
57: [176.  439.3]
58: [168.  456.3]
59: [162.  501.3]
60: [242.   10.5]
61: [285.   22.6]
62: [251.   39.5]
63: [183.  456.4]
64: [125.  489.2]
65: [131.    9.3]
66: [167.  465.3]
67: [227.   15.4]
68: [167.  487.3]
69: [267.   22.5]
70: [263.   32.5]
71: [173.  432.3]
72: [171.   33.3]
73: [162.   22.3]
74: [220.   20.4]
75: [280.   30.5]
76: [160.  445.3]
77: [169.  444.3]
78: [158.  476.3]
79: [164.    1.3]
80: [195.  501.4]
81: [234.   71.5]
82: [246.   72.5]
83: [416.   87.8]
84: [265.   85.5]
85: [ 96.  131.2]
86: [ 83.  156.2]
87: [193.  433.4]
88: [223.   60.4]
89: [71.  27.1]
90: [455.  253.9]
91: [418.  213.8]
92: [444.  259.9]
93: [196.  140.4]
94: [118.   59.2]
95: [269.   78.5]
96: [505. 138.]
97: [488. 111.]
98: [160.   38.3]
99: [318.   46.6]
100: [255.  498.5]
101: [510. 149.]
102: [486.  212.9]
103: [296.   27.6]
104: [206.  511.4]
105: [203.  469.4]
106: [485.  235.9]
107: [  8. 172.]
108: [497. 172.]
109: [ 38.  453.1]
110: [  3. 161.]
111: [216.   43.4]
112: [188.   91.4]
113: [236.  300.5]
114: [217.  230.4]
115: [ 3. 41.]
116: [174.  134.3]
117: [480.  150.9]
118: [45.  95.1]
119: [213.   52.4]
120: [251.  186.5]
121: [143.  183.3]
122: [111.  469.2]
123: [149.   41.3]
124: [ 63.  471.1]
125: [212.  121.4]
126: [433.  224.8]
127: [224.  170.4]
128: [203.  241.4]
129: [ 50.  352.1]
130: [218.   90.4]
131: [492. 267.]
132: [151.  112.3]
133: [370.  462.7]
134: [316.  116.6]
135: [212.  104.4]
136: [213.  420.4]
137: [224.    5.4]
138: [229.  472.4]
139: [152.    7.3]
140: [194.  457.4]
141: [507. 173.]
142: [308.  307.6]
143: [69.  79.1]
144: [466.  164.9]
145: [215.   98.4]
146: [ 31.  433.1]
147: [ 37.  151.1]
148: [209.  167.4]
149: [469.  282.9]
150: [392.  235.8]
151: [ 85.  137.2]
152: [216.  117.4]
153: [443.  213.9]
154: [266.  104.5]
155: [240.  333.5]
156: [474.  458.9]
157: [336.  418.7]
158: [ 22. 191.]
159: [319.  370.6]
160: [163.  169.3]
161: [228.  106.4]
162: [425.  310.8]
163: [196.  305.4]
164: [289.  237.6]
165: [395.  267.8]
166: [178.  177.3]
167: [ 69.  117.1]
168: [450.  216.9]
169: [482.  421.9]
170: [295.  161.6]
171: [440.  285.9]
172: [100.  177.2]
173: [479.  260.9]
174: [442.  291.9]
175: [196.  159.4]
176: [316.  326.6]
177: [431.  289.8]
178: [205.  117.4]
179: [419.  260.8]
180: [287.  338.6]
181: [223.  379.4]
182: [ 48.  497.1]
183: [291.  126.6]
184: [221.  285.4]
185: [ 45.  139.1]
186: [226.  120.4]
187: [257.  159.5]
188: [382.  172.7]
189: [279.  342.5]
190: [387.  380.8]
191: [227.  216.4]
192: [154.  144.3]
193: [230.  376.4]
194: [195.   56.4]
195: [118.  144.2]
196: [249.  137.5]
197: [424.  283.8]
198: [504. 430.]
199: [397.  217.8]
200: [436.  188.9]
201: [368.   97.7]
202: [ 86.  142.2]
203: [407.  194.8]
204: [ 70.  418.1]
205: [243.  199.5]
206: [  8. 209.]
207: [389.  224.8]
208: [141.  419.3]
209: [162.  106.3]
210: [356.   80.7]
211: [394.  424.8]
212: [378.  281.7]
213: [139.  109.3]
214: [352.   42.7]
215: [436.  272.9]
216: [255.  119.5]
217: [460.  232.9]
218: [421.  389.8]
219: [205.  306.4]
220: [327.  398.6]
221: [503. 298.]
222: [212.  359.4]
223: [259.  146.5]
224: [155.  176.3]
225: [490. 439.]
226: [366.  300.7]
227: [ 77.  434.2]
228: [437.  230.9]
229: [164.  206.3]
230: [401.  176.8]
231: [169.  112.3]
232: [261.  200.5]
233: [260.  339.5]
234: [334.  103.7]
235: [276.  149.5]
236: [414.  273.8]
237: [288.  305.6]
238: [250.  157.5]
239: [212.  322.4]
240: [315.  252.6]
241: [226.  155.4]
242: [281.  109.5]
243: [ 31.  347.1]
244: [128.  140.2]
245: [371.   61.7]
246: [233.  140.5]
247: [371.  483.7]
248: [ 26.  310.1]
249: [495. 277.]
250: [339.  340.7]
251: [188.  211.4]
252: [348.  294.7]
253: [215.  310.4]
254: [194.  352.4]
255: [181.  205.4]
256: [425.  276.8]
257: [178.  200.3]
258: [183.  181.4]
259: [203.  108.4]
260: [338.  300.7]
261: [125.  206.2]
262: [ 37.  195.1]
263: [295.  340.6]
264: [ 31.  220.1]
265: [401.  283.8]
266: [355.  289.7]
267: [204.  329.4]
268: [285.  189.6]
269: [427.  402.8]
270: [306.  263.6]
271: [ 51.  414.1]
272: [478.  302.9]
273: [497. 407.]
274: [178.  228.3]
275: [388.  349.8]
276: [366.  356.7]
277: [239.  159.5]
278: [  0. 417.]
279: [229.  160.4]
280: [138.  199.3]
281: [407.  296.8]
282: [163.  235.3]
283: [376.  414.7]
284: [455.  307.9]
285: [175.  118.3]
286: [229.  145.4]
287: [420.  434.8]
288: [303.  246.6]
289: [305.  139.6]
290: [472.  315.9]
291: [489. 297.]
292: [150.  200.3]
293: [357.  405.7]
294: [230.   98.4]
295: [219.  151.4]
296: [287.  485.6]
297: [271.  424.5]
298: [252.  387.5]
299: [136.  404.3]
300: [345.  439.7]
301: [297.  323.6]
302: [306.  130.6]
303: [287.  250.6]
304: [508. 253.]
305: [191.  162.4]
306: [132.  184.3]
307: [200.  133.4]
308: [501. 363.]
309: [440.  301.9]
310: [282.  148.6]
311: [256.  135.5]
312: [455.  223.9]
313: [184.  161.4]
314: [407.  482.8]
315: [465.  305.9]
316: [298.  149.6]
317: [248.  283.5]
318: [ 95.  206.2]
319: [255.  378.5]
320: [262.  417.5]
321: [176.  396.3]
322: [315.  109.6]
323: [302.  148.6]
324: [290.  154.6]
325: [431.  297.8]
326: [343.  395.7]
327: [188.  167.4]
328: [142.  147.3]
329: [ 65.  201.1]
330: [ 80.  186.2]
331: [257.  239.5]
332: [157.  151.3]
333: [390.  164.8]
334: [443.  230.9]
335: [406.  265.8]
336: [181.  187.4]
337: [277.  248.5]
338: [216.  210.4]
339: [ 22. 372.]
340: [488. 251.]
341: [139.  139.3]
342: [272.  112.5]
343: [159.  127.3]
344: [271.  146.5]
345: [145.  389.3]
346: [382.   90.7]
347: [158.  396.3]
348: [234.  106.5]
349: [387.  186.8]
350: [240.  117.5]
351: [138.  435.3]
352: [130.  121.3]
353: [413.  259.8]
354: [401.  234.8]
355: [324.   91.6]
356: [220.  105.4]
357: [243.  137.5]
358: [324.  277.6]
359: [  3. 471.]
360: [330.   97.6]
361: [251.  141.5]
362: [354.  256.7]
363: [448.  284.9]
364: [487. 279.]
365: [363.  160.7]
366: [163.  175.3]
367: [425.  124.8]
368: [273.  120.5]
369: [223.   98.4]
370: [445.  169.9]
371: [465.  205.9]
372: [385.  371.8]
373: [275.  236.5]
374: [209.  378.4]
375: [293.  351.6]
376: [178.  164.3]
377: [297.  120.6]
378: [410.  171.8]
379: [169.  213.3]
380: [348.  340.7]
381: [437.  463.9]
382: [ 51.  179.1]
383: [392.  173.8]
384: [265.  466.5]
385: [278.  125.5]
386: [291.  132.6]
387: [260.  365.5]
388: [97.  98.2]
389: [216.  398.4]
390: [235.  134.5]
391: [ 38.  474.1]
392: [458.  291.9]
393: [299.  288.6]
394: [257.  299.5]
395: [303.  119.6]
396: [ 45.  382.1]
397: [228.  136.4]
398: [468.  269.9]
399: [20.  4.]
400: [234.  197.5]
401: [230.  390.4]
402: [304.  108.6]
403: [260.  115.5]
404: [150.  415.3]
405: [444.  222.9]
406: [435.  257.8]
407: [172.  168.3]
408: [ 67.  193.1]
409: [311.  124.6]
410: [481.   12.9]
411: [426.  246.8]
412: [ 54.  186.1]
413: [319.   95.6]
414: [122.  434.2]
415: [272.   87.5]
416: [220.   76.4]
417: [228.   74.4]
418: [246.  116.5]
419: [488.  44.]
420: [494. 508.]
421: [506. 343.]
422: [182.  393.4]
423: [312.   93.6]
424: [ 79.  147.2]
425: [134.   35.3]
426: [305.   84.6]
427: [255.  474.5]
428: [294.  114.6]
429: [164.  144.3]
430: [299.  112.6]
431: [115.  157.2]
432: [381.   83.7]
433: [ 20. 178.]
434: [384.  237.8]
435: [301.  313.6]
436: [237.  369.5]
437: [148.  403.3]
438: [276.  411.5]
439: [193.  132.4]
440: [301.  348.6]
441: [ 61.  387.1]
442: [272.  231.5]
443: [327.  340.6]
444: [209.  109.4]
445: [44.  38.1]
446: [451.  264.9]
447: [25. 86.]
448: [458.    6.9]
449: [ 92.  200.2]
450: [197.  166.4]
451: [221.  116.4]
452: [383.  470.7]
453: [68.  40.1]
454: [170.   47.3]
455: [74.  16.1]
456: [303.   78.6]
457: [224.   49.4]
458: [483.  205.9]
459: [203.   51.4]
460: [365.    7.7]
461: [294.   13.6]
462: [205.  455.4]
463: [208.   59.4]
464: [42.  26.1]
465: [206.  419.4]
466: [ 95.  473.2]
467: [471.  215.9]
468: [ 87.  484.2]
