0: [396.  490.8]
1: [277.   48.5]
2: [15. 84.]
3: [144.  304.3]
4: [144.  302.3]
5: [45.  82.1]
6: [48.  78.1]
7: [144.  300.3]
8: [ 6. 75.]
9: [149.  329.3]
10: [142.  296.3]
11: [42.  78.1]
12: [147.  308.3]
13: [45.  85.1]
14: [141.  304.3]
15: [143.  298.3]
16: [138.  300.3]
17: [142.  307.3]
18: [134.  302.3]
19: [138.  295.3]
20: [40.  85.1]
21: [292.  183.6]
22: [222.  408.4]
23: [ 10. 324.]
24: [10. 86.]
25: [146.  294.3]
26: [10. 84.]
27: [ 9. 79.]
28: [149.  291.3]
29: [396.  327.8]
30: [134.   54.3]
31: [ 5. 72.]
32: [435.  178.8]
33: [282.   37.6]
34: [148.  287.3]
35: [142.  291.3]
36: [142.  286.3]
37: [139.  289.3]
38: [ 4. 71.]
39: [296.  320.6]
40: [304.    4.6]
41: [ 91.  290.2]
42: [50.  71.1]
43: [264.  411.5]
44: [295.  265.6]
45: [222.  408.4]
46: [ 3. 77.]
47: [152.  293.3]
48: [308.  190.6]
49: [139.  284.3]
50: [183.  509.4]
51: [108.   69.2]
52: [145.  327.3]
53: [376.  201.7]
54: [482.  367.9]
55: [333.  455.7]
56: [146.  286.3]
57: [219.   16.4]
58: [220.  173.4]
59: [295.   43.6]
60: [140.  295.3]
61: [148.  296.3]
62: [149.  333.3]
63: [  1. 351.]
64: [192.  216.4]
65: [241.   23.5]
66: [385.  197.8]
67: [145.  291.3]
68: [25. 53.]
69: [136.  298.3]
70: [143.  298.3]
71: [502. 377.]
72: [163.  334.3]
73: [137.  280.3]
74: [153.  288.3]
75: [152.  295.3]
76: [207.   33.4]
77: [396.  182.8]
78: [500. 122.]
79: [200.  206.4]
80: [45.  80.1]
81: [212.  376.4]
82: [199.  370.4]
83: [169.  318.3]
84: [173.  424.3]
85: [ 82.  497.2]
86: [374.  487.7]
87: [281.  201.5]
88: [202.  455.4]
89: [423.  178.8]
90: [213.  109.4]
91: [ 93.  115.2]
92: [357.  400.7]
93: [178.  456.3]
94: [177.    6.3]
95: [191.  391.4]
96: [131.  206.3]
97: [149.  256.3]
98: [163.  323.3]
99: [223.  428.4]
100: [311.  305.6]
101: [132.  189.3]
102: [292.  115.6]
103: [149.  299.3]
104: [489.  75.]
105: [425.  231.8]
106: [ 49.  290.1]
107: [ 49.  313.1]
108: [393.  214.8]
109: [60.  67.1]
110: [116.  124.2]
111: [229.  391.4]
112: [186.  458.4]
113: [414.  509.8]
114: [137.  466.3]
115: [326.   64.6]
116: [160.  470.3]
117: [348.  364.7]
118: [ 37.  493.1]
119: [202.  460.4]
120: [135.  433.3]
121: [138.  484.3]
122: [296.  252.6]
123: [167.  327.3]
124: [239.  194.5]
125: [169.  452.3]
126: [ 24. 345.]
127: [102.  420.2]
128: [125.  480.2]
129: [356.  312.7]
130: [170.  437.3]
131: [466.  102.9]
132: [152.  487.3]
133: [128.  224.2]
134: [113.  381.2]
135: [175.  442.3]
136: [357.  100.7]
137: [155.  327.3]
138: [407.  314.8]
139: [ 32.  197.1]
140: [ 45.  247.1]
141: [127.  168.2]
142: [423.   28.8]
143: [ 53.  487.1]
144: [110.  101.2]
145: [180.  445.4]
146: [ 56.  244.1]
147: [ 84.  311.2]
148: [142.  437.3]
149: [253.  459.5]
150: [144.  125.3]
151: [ 86.  506.2]
152: [170.  443.3]
153: [499. 318.]
154: [164.  421.3]
155: [442.  501.9]
156: [327.  491.6]
157: [338.  285.7]
158: [338.  318.7]
159: [454.  275.9]
160: [142.  468.3]
161: [117.  364.2]
162: [317.   39.6]
163: [431.    4.8]
164: [127.  476.2]
165: [ 5. 10.]
166: [100.  439.2]
167: [ 87.  510.2]
168: [396.  419.8]
169: [292.  464.6]
170: [129.  407.3]
171: [332.  413.6]
172: [ 93.  503.2]
173: [314.  414.6]
174: [347.  420.7]
175: [176.  452.3]
176: [470.  332.9]
177: [272.  165.5]
178: [ 85.  414.2]
179: [258.   89.5]
180: [ 35.  120.1]
181: [335.  138.7]
182: [434.  275.8]
183: [116.  385.2]
184: [386.  495.8]
185: [ 88.  149.2]
186: [167.  432.3]
187: [141.  427.3]
188: [374.   15.7]
189: [ 37.  117.1]
190: [166.   97.3]
191: [142.  462.3]
192: [ 83.  445.2]
193: [474.  389.9]
194: [226.  371.4]
195: [ 79.  479.2]
196: [121.  362.2]
197: [233.  472.5]
198: [180.  300.4]
199: [133.  158.3]
200: [ 59.  335.1]
201: [ 85.  396.2]
202: [ 87.  504.2]
203: [110.  172.2]
204: [193.  314.4]
205: [139.  446.3]
206: [318.  174.6]
207: [216.  302.4]
208: [130.  151.3]
209: [164.  474.3]
210: [199.  443.4]
211: [479.   70.9]
212: [396.  137.8]
213: [154.  492.3]
214: [ 52.  423.1]
215: [483.  493.9]
216: [159.  418.3]
217: [214.   89.4]
218: [320.  471.6]
219: [428.    1.8]
220: [227.  244.4]
221: [196.  149.4]
222: [436.   10.9]
223: [106.  396.2]
224: [139.  471.3]
225: [88.  79.2]
226: [311.  236.6]
227: [234.  350.5]
228: [313.  108.6]
229: [104.  463.2]
230: [426.  128.8]
231: [ 83.  431.2]
232: [128.  443.2]
233: [423.  460.8]
234: [165.  411.3]
235: [135.  408.3]
236: [229.  484.4]
237: [407.   22.8]
238: [102.  406.2]
239: [431.  509.8]
240: [ 98.  511.2]
241: [ 99.  415.2]
242: [148.  408.3]
243: [369.  323.7]
244: [ 76.  467.1]
245: [204.  467.4]
246: [100.  410.2]
247: [386.  159.8]
248: [ 12. 137.]
249: [144.  203.3]
250: [245.  134.5]
251: [109.  455.2]
252: [449.  455.9]
253: [426.  509.8]
254: [ 60.  205.1]
255: [107.  451.2]
256: [244.  499.5]
257: [104.  449.2]
258: [100.  435.2]
259: [ 89.  410.2]
260: [506. 508.]
261: [ 95.  484.2]
262: [ 52.  218.1]
263: [ 72.  176.1]
264: [386.  396.8]
265: [456.   63.9]
266: [454.  458.9]
267: [ 12. 237.]
268: [131.  422.3]
269: [305.  487.6]
270: [380.  503.7]
271: [250.  352.5]
272: [182.  205.4]
273: [447.   86.9]
274: [107.  470.2]
275: [ 76.  112.1]
