0: [329.  446.6]
1: [ 38.  237.1]
2: [ 41.  256.1]
3: [469.  283.9]
4: [463.  273.9]
5: [  0. 243.]
6: [ 13. 255.]
7: [469.  266.9]
8: [ 33.  261.1]
9: [453.  245.9]
10: [455.  266.9]
11: [  8. 245.]
12: [463.  291.9]
13: [  0. 251.]
14: [473.  273.9]
15: [475.  256.9]
16: [459.  281.9]
17: [481.  288.9]
18: [451.  288.9]
19: [450.  276.9]
20: [  4. 253.]
21: [ 21. 236.]
22: [429.  242.8]
23: [450.  309.9]
24: [ 28.  240.1]
25: [462.  257.9]
26: [ 10. 232.]
27: [ 20. 247.]
28: [445.  266.9]
29: [ 65.  288.1]
30: [ 38.  226.1]
31: [ 20. 261.]
32: [453.  297.9]
33: [ 51.  227.1]
34: [451.  255.9]
35: [440.  282.9]
36: [430.  287.8]
37: [440.  293.9]
38: [  6. 263.]
39: [ 72.  258.1]
40: [ 45.  267.1]
41: [ 47.  235.1]
42: [ 28.  250.1]
43: [ 65.  249.1]
44: [ 59.  240.1]
45: [441.  250.9]
46: [ 32.  270.1]
47: [434.  259.8]
48: [ 71.  231.1]
49: [425.  296.8]
50: [343.  227.7]
51: [ 84.  322.2]
52: [450.  233.9]
53: [ 61.  230.1]
54: [ 61.  257.1]
55: [ 45.  218.1]
56: [419.  286.8]
57: [ 70.  276.1]
58: [ 54.  269.1]
59: [ 28.  227.1]
60: [433.  270.8]
61: [476.  246.9]
62: [439.  237.9]
63: [ 51.  279.1]
64: [470.  324.9]
65: [443.  316.9]
66: [ 49.  258.1]
67: [419.  274.8]
68: [ 40.  245.1]
69: [481.  278.9]
70: [483.  270.9]
71: [ 75.  284.1]
72: [409.  265.8]
73: [436.  302.9]
74: [423.  263.8]
75: [463.  246.9]
76: [ 64.  266.1]
77: [ 60.  277.1]
78: [ 49.  245.1]
79: [ 34.  216.1]
80: [496. 267.]
81: [405.  180.8]
82: [403.  159.8]
83: [386.  261.8]
84: [415.  145.8]
85: [497. 449.]
86: [450.  414.9]
87: [ 72.  293.1]
88: [408.  213.8]
89: [429.  342.8]
90: [130.  320.3]
91: [ 87.  370.2]
92: [148.  333.3]
93: [350.   56.7]
94: [298.  171.6]
95: [418.  169.8]
96: [ 64.  327.1]
97: [ 23. 308.]
98: [397.  257.8]
99: [462.  223.9]
100: [488. 311.]
101: [ 69.  335.1]
102: [ 86.  284.2]
103: [469.  236.9]
104: [474.  291.9]
105: [ 14. 270.]
106: [132.  287.3]
107: [ 78.  375.2]
108: [ 79.  332.2]
109: [224.  262.4]
110: [ 79.  361.2]
111: [409.  239.8]
112: [359.  130.7]
113: [256.  476.5]
114: [121.   29.2]
115: [ 99.  407.2]
116: [305.   73.6]
117: [ 77.  265.2]
118: [285.  189.6]
119: [399.  230.8]
120: [66.  49.1]
121: [302.   16.6]
122: [ 52.  355.1]
123: [363.  233.7]
124: [232.  234.5]
125: [370.  104.7]
126: [ 99.  340.2]
127: [74.  74.1]
128: [115.    0.2]
129: [166.  211.3]
130: [402.  133.8]
131: [138.  301.3]
132: [280.  114.5]
133: [ 56.  393.1]
134: [436.   63.9]
135: [54.  94.1]
136: [ 36.  328.1]
137: [  0. 229.]
138: [ 17. 283.]
139: [476.  299.9]
140: [ 41.  277.1]
141: [ 76.  341.1]
142: [ 82.  469.2]
143: [307.  192.6]
144: [ 91.  230.2]
145: [391.  130.8]
146: [226.  279.4]
147: [327.  251.6]
148: [400.   17.8]
149: [186.  338.4]
150: [207.  245.4]
151: [253.  140.5]
152: [375.   94.7]
153: [109.  334.2]
154: [503. 157.]
155: [245.  472.5]
156: [264.  301.5]
157: [115.  421.2]
158: [181.  218.4]
159: [336.  272.7]
160: [376.    4.7]
161: [ 17. 129.]
162: [220.  327.4]
163: [342.  426.7]
164: [131.   14.3]
165: [156.  396.3]
166: [308.   51.6]
167: [251.  152.5]
168: [114.  326.2]
169: [261.  323.5]
170: [ 6. 98.]
171: [171.  357.3]
172: [429.  442.8]
173: [146.  305.3]
174: [179.  360.3]
175: [369.   44.7]
176: [134.  470.3]
177: [187.  360.4]
178: [360.  108.7]
179: [132.  371.3]
180: [417.  368.8]
181: [359.  319.7]
182: [236.  210.5]
183: [422.   65.8]
184: [360.  470.7]
185: [436.  351.9]
186: [386.   90.8]
187: [411.   43.8]
188: [222.  109.4]
189: [406.  374.8]
190: [188.  406.4]
191: [490.  24.]
192: [173.   38.3]
193: [366.  311.7]
194: [382.  209.7]
195: [217.   79.4]
196: [ 21. 107.]
197: [209.  311.4]
198: [239.  303.5]
199: [ 98.  371.2]
200: [121.  204.2]
201: [ 30.  149.1]
202: [241.  134.5]
203: [ 62.  418.1]
204: [175.  393.3]
205: [462.    0.9]
206: [134.  251.3]
207: [107.  388.2]
208: [ 98.  395.2]
209: [302.   98.6]
210: [  4. 174.]
211: [130.  392.3]
212: [210.  427.4]
213: [277.   86.5]
214: [ 43.  188.1]
215: [177.  296.3]
216: [396.   86.8]
217: [138.  281.3]
218: [165.  387.3]
219: [351.  431.7]
220: [286.  231.6]
221: [156.  267.3]
222: [240.  459.5]
223: [434.   45.8]
224: [367.    0.7]
225: [259.  311.5]
226: [214.  436.4]
227: [209.  232.4]
228: [119.  335.2]
229: [458.  494.9]
230: [493. 420.]
231: [299.  116.6]
232: [480.   37.9]
233: [392.  382.8]
234: [480.  177.9]
235: [  0. 107.]
236: [197.  287.4]
237: [407.  400.8]
238: [442.   30.9]
239: [270.  449.5]
240: [237.   16.5]
241: [66.  79.1]
242: [489. 143.]
243: [138.  220.3]
244: [238.   64.5]
245: [ 13. 186.]
246: [35.  96.1]
247: [  0. 352.]
248: [102.  229.2]
249: [172.  328.3]
250: [195.  446.4]
251: [112.   55.2]
252: [236.  442.5]
253: [360.  426.7]
254: [259.  415.5]
255: [426.  489.8]
256: [199.  297.4]
257: [447.  488.9]
258: [421.    0.8]
259: [366.   87.7]
260: [256.  427.5]
261: [223.   14.4]
262: [ 71.  427.1]
263: [ 97.  456.2]
264: [158.  225.3]
265: [163.  375.3]
266: [242.  431.5]
267: [278.  437.5]
268: [40.  34.1]
269: [150.  383.3]
270: [ 29.  473.1]
271: [218.  271.4]
272: [154.  309.3]
273: [228.  302.4]
274: [16.  0.]
275: [274.  302.5]
276: [279.  289.5]
277: [ 67.  111.1]
278: [225.  312.4]
279: [ 78.  104.2]
280: [  0. 469.]
281: [201.  376.4]
282: [ 33.  484.1]
