0: [472.   26.9]
1: [329.  279.6]
2: [316.  260.6]
3: [392.  243.8]
4: [399.  245.8]
5: [335.  241.7]
6: [329.  248.6]
7: [411.  239.8]
8: [309.  254.6]
9: [423.  272.8]
10: [412.  252.8]
11: [338.  250.7]
12: [386.  250.8]
13: [336.  232.7]
14: [406.  243.8]
15: [418.  247.8]
16: [396.  253.8]
17: [402.  234.8]
18: [389.  262.8]
19: [406.  254.8]
20: [325.  232.6]
21: [348.  264.7]
22: [441.  268.9]
23: [355.  295.7]
24: [338.  260.7]
25: [420.  256.8]
26: [350.  254.7]
27: [328.  258.6]
28: [423.  264.8]
29: [272.  271.5]
30: [338.  288.7]
31: [318.  249.6]
32: [364.  287.7]
33: [307.  215.6]
34: [410.  273.8]
35: [397.  271.8]
36: [382.  292.7]
37: [384.  276.8]
38: [317.  240.6]
39: [256.  234.5]
40: [292.  244.6]
41: [324.  285.6]
42: [314.  268.6]
43: [266.  229.5]
44: [276.  219.5]
45: [437.  262.9]
46: [306.  246.6]
47: [416.  266.8]
48: [280.  206.5]
49: [377.  285.7]
50: [362.  339.7]
51: [226.  310.4]
52: [418.  276.8]
53: [294.  210.6]
54: [261.  243.5]
55: [347.  289.7]
56: [388.  299.8]
57: [263.  274.5]
58: [269.  249.5]
59: [336.  273.7]
60: [403.  263.8]
61: [437.  250.9]
62: [430.  271.8]
63: [282.  254.6]
64: [325.  324.6]
65: [348.  311.7]
66: [278.  239.5]
67: [394.  280.8]
68: [321.  272.6]
69: [422.  236.8]
70: [432.  238.8]
71: [257.  281.5]
72: [385.  309.8]
73: [371.  300.7]
74: [403.  283.8]
75: [430.  255.8]
76: [258.  254.5]
77: [262.  264.5]
78: [302.  230.6]
79: [348.  278.7]
80: [346.  240.7]
81: [455.  307.9]
82: [462.  318.9]
83: [ 46.  217.1]
84: [486.  325.9]
85: [389.  415.8]
86: [391.  444.8]
87: [244.  272.5]
88: [440.  301.9]
89: [ 65.  203.1]
90: [258.  444.5]
91: [190.  316.4]
92: [260.  466.5]
93: [478.  409.9]
94: [369.  346.7]
95: [482.  306.9]
96: [215.  279.4]
97: [236.  224.5]
98: [384.  318.8]
99: [477.  267.9]
100: [432.  197.8]
101: [209.  289.4]
102: [258.  311.5]
103: [446.  253.9]
104: [375.  263.7]
105: [357.  221.7]
106: [248.  317.5]
107: [183.  309.4]
108: [216.  309.4]
109: [309.  472.6]
110: [192.  272.4]
111: [420.  299.8]
112: [445.  358.9]
113: [434.    1.8]
114: [495. 478.]
115: [321.  413.6]
116: [437.  386.9]
117: [226.  268.4]
118: [347.  396.7]
119: [434.  297.8]
120: [ 22. 436.]
121: [455.  450.9]
122: [255.  199.5]
123: [378.  325.7]
124: [173.  267.3]
125: [468.  359.9]
126: [274.  432.5]
127: [  3. 428.]
128: [ 12. 500.]
129: [296.  412.6]
130: [465.  334.9]
131: [235.  448.5]
