0: [158.  165.3]
1: [299.  422.6]
2: [298.  432.6]
3: [241.  430.5]
4: [234.  430.5]
5: [275.  446.5]
6: [285.  450.6]
7: [226.  432.4]
8: [292.  456.6]
9: [218.  403.4]
10: [228.  421.4]
11: [278.  438.5]
12: [254.  428.5]
13: [266.  451.5]
14: [228.  438.4]
15: [222.  425.4]
16: [245.  423.5]
17: [236.  439.5]
18: [256.  418.5]
19: [235.  421.5]
20: [276.  455.5]
21: [278.  418.5]
22: [195.  401.4]
23: [321.  396.6]
24: [285.  428.6]
25: [220.  417.4]
26: [273.  427.5]
27: [288.  436.6]
28: [220.  410.4]
29: [312.  479.6]
30: [308.  408.6]
31: [285.  460.6]
32: [278.  402.5]
33: [316.  419.6]
34: [225.  406.4]
35: [251.  408.5]
36: [270.  398.5]
37: [266.  413.5]
38: [282.  469.6]
39: [333.  438.7]
40: [303.  457.6]
41: [307.  417.6]
42: [294.  447.6]
43: [325.  433.6]
44: [327.  423.6]
45: [201.  408.4]
46: [294.  466.6]
47: [231.  411.5]
48: [339.  406.7]
49: [269.  405.5]
50: [293.  346.6]
51: [316.   19.6]
52: [222.  398.4]
53: [326.  411.6]
54: [328.  447.6]
55: [312.  401.6]
56: [263.  394.5]
57: [322.  477.6]
58: [319.  453.6]
59: [291.  418.6]
60: [242.  412.5]
61: [208.  421.4]
62: [211.  402.4]
63: [302.  477.6]
64: [331.  372.6]
65: [310.  375.6]
66: [312.  447.6]
67: [252.  398.5]
68: [299.  442.6]
69: [218.  439.4]
70: [212.  431.4]
71: [317.  487.6]
72: [278.  365.5]
73: [279.  391.5]
74: [243.  397.5]
75: [211.  413.4]
76: [325.  459.6]
77: [316.  468.6]
78: [312.  432.6]
79: [285.  408.6]
80: [267.  439.5]
81: [200.  372.4]
82: [192.  375.4]
83: [ 77.  487.2]
84: [172.  386.3]
85: [278.  271.5]
86: [287.  255.6]
87: [351.  433.7]
88: [210.  376.4]
89: [335.  323.7]
90: [340.   19.7]
91: [414.   28.8]
92: [366.  240.7]
93: [178.  306.3]
94: [286.  335.6]
95: [179.  394.3]
96: [380.   49.7]
97: [ 18. 501.]
98: [272.  359.5]
99: [171.  440.3]
100: [225.  473.4]
101: [368.   58.7]
102: [352.  459.7]
103: [201.  426.4]
104: [215.  470.4]
105: [268.  467.5]
106: [329.  488.6]
107: [414.   89.8]
108: [360.   42.7]
109: [414.  127.8]
110: [408.   76.8]
111: [230.  374.4]
112: [212.  329.4]
113: [206.  189.4]
114: [137.  240.3]
115: [349.  260.7]
116: [203.  285.4]
117: [364.  420.7]
118: [317.  290.6]
119: [221.  375.4]
120: [125.  298.2]
121: [168.  235.3]
122: [15. 38.]
123: [278.  352.5]
124: [429.   62.8]
125: [191.  330.4]
126: [303.   41.6]
127: [147.  304.3]
128: [145.  210.3]
129: [370.  105.7]
130: [191.  357.4]
131: [345.  506.7]
132: [227.  300.4]
133: [143.   28.3]
134: [109.  392.2]
135: [172.  336.3]
136: [384.  400.8]
137: [209.  459.4]
138: [250.  486.5]
139: [294.  396.6]
140: [291.  481.6]
141: [354.   55.7]
142: [ 49.  139.1]
143: [305.  304.6]
144: [251.   11.5]
145: [192.  347.4]
146: [346.  181.7]
147: [31.  86.1]
148: [156.  301.3]
149: [385.  217.8]
150: [433.   18.8]
151: [283.  280.6]
152: [188.  334.4]
153: [393.   12.8]
154: [155.  374.3]
155: [132.  134.3]
156: [446.  182.9]
157: [314.  208.6]
158: [391.  312.8]
159: [  5. 126.]
160: [142.  260.3]
161: [169.  349.3]
162: [401.  192.8]
163: [190.  159.4]
164: [147.  218.3]
165: [391.  140.8]
166: [172.  273.3]
167: [291.  283.6]
168: [380.   15.7]
169: [425.  177.8]
170: [ 98.  349.2]
171: [367.  220.7]
172: [225.  223.4]
173: [336.  505.7]
174: [369.  216.7]
175: [172.  295.3]
176: [ 26.  139.1]
177: [377.  187.7]
178: [197.  328.4]
179: [364.  262.7]
180: [282.  187.6]
181: [283.  147.6]
182: [495.  55.]
183: [109.  385.2]
184: [190.  186.4]
185: [309.  259.6]
186: [181.  336.4]
187: [131.  329.3]
188: [ 15. 386.]
189: [272.  186.5]
190: [455.  150.9]
191: [127.  252.2]
192: [208.  273.4]
193: [281.  152.5]
194: [233.  356.5]
195: [246.  264.5]
196: [152.  347.3]
197: [373.  196.7]
198: [412.  172.8]
199: [476.  502.9]
200: [425.  402.8]
201: [ 94.  447.2]
202: [286.  275.6]
203: [141.   42.3]
204: [402.  136.8]
205: [131.  282.3]
206: [401.  503.8]
207: [323.   85.6]
208: [476.   22.9]
209: [228.  311.4]
210: [132.  462.3]
211: [449.  474.9]
212: [235.   69.5]
213: [240.  299.5]
214: [163.  484.3]
215: [361.  216.7]
216: [151.  360.3]
217: [360.    4.7]
218: [377.  150.7]
219: [194.  166.4]
220: [324.  159.6]
221: [398.  266.8]
222: [252.  148.5]
223: [127.  337.2]
224: [153.  252.3]
225: [432.  192.8]
226: [212.   97.4]
227: [333.  205.7]
228: [309.   36.6]
229: [169.  251.3]
230: [497. 409.]
231: [216.  303.4]
232: [ 99.  282.2]
233: [251.  186.5]
234: [113.  419.2]
235: [117.  348.2]
236: [357.  198.7]
237: [ 69.  148.1]
238: [148.  327.3]
239: [146.  146.3]
240: [ 52.  222.1]
241: [160.  323.3]
242: [140.  382.3]
243: [363.   76.7]
244: [238.  268.5]
245: [118.  470.2]
246: [147.  335.3]
247: [72.  44.1]
248: [379.  429.7]
249: [390.  238.8]
250: [274.  122.5]
251: [ 77.  251.2]
252: [177.  103.3]
253: [203.  168.4]
254: [181.  117.4]
255: [158.  258.3]
256: [367.  201.7]
257: [161.  263.3]
258: [171.  279.3]
259: [185.  317.4]
260: [ 12. 204.]
261: [228.  243.4]
262: [128.   54.2]
263: [281.  176.5]
264: [428.  460.8]
265: [358.  173.7]
266: [178.   92.3]
267: [160.  137.3]
268: [ 94.  310.2]
269: [365.  146.7]
270: [ 61.  207.1]
271: [346.  167.7]
272: [385.  248.8]
273: [398.  167.8]
274: [ 93.  222.2]
275: [458.  190.9]
276: [272.   83.5]
277: [159.  332.3]
278: [401.  181.8]
279: [155.  294.3]
280: [213.  248.4]
281: [376.  171.7]
282: [ 65.  245.1]
283: [271.   50.5]
284: [384.  210.8]
285: [209.  299.4]
286: [155.  324.3]
287: [442.  454.9]
288: [ 62.  232.1]
289: [102.  376.2]
290: [388.  256.8]
291: [401.  239.8]
292: [191.  249.4]
293: [475.  120.9]
294: [175.  352.3]
295: [169.  324.3]
296: [189.  496.4]
297: [429.  350.8]
298: [286.  159.6]
299: [324.  207.6]
300: [317.  225.6]
301: [ 59.  120.1]
302: [ 97.  381.2]
303: [194.  222.4]
304: [360.  497.7]
305: [171.  288.3]
306: [204.  237.4]
307: [184.  309.4]
308: [382.  289.7]
309: [384.  198.8]
310: [114.  354.2]
311: [139.  347.3]
312: [369.   10.7]
313: [188.  295.4]
314: [418.  380.8]
315: [373.  210.7]
316: [106.  366.2]
317: [100.  180.2]
318: [272.  241.5]
319: [277.  160.5]
320: [434.  367.8]
321: [482.  109.9]
322: [145.  378.3]
323: [102.  368.2]
324: [105.  353.2]
325: [384.  189.8]
326: [292.   81.6]
327: [191.  300.4]
328: [ 37.  377.1]
329: [ 69.  100.1]
330: [273.  226.5]
331: [166.  225.3]
332: [203.  269.4]
333: [ 16. 405.]
334: [315.   32.6]
335: [345.  202.7]
336: [165.  271.3]
337: [194.  229.4]
338: [ 93.  262.2]
339: [365.  276.7]
340: [355.  507.7]
341: [ 43.  386.1]
342: [140.  372.3]
343: [208.  282.4]
344: [124.  346.2]
345: [286.   99.6]
346: [ 99.  464.2]
347: [328.  169.6]
348: [166.  354.3]
349: [510. 391.]
350: [161.  351.3]
351: [383.   77.7]
352: [244.  292.5]
353: [352.  224.7]
354: [406.  112.8]
355: [125.  424.2]
356: [174.  341.3]
357: [147.  342.3]
