0: [ 28.  273.1]
288: [ 53.  207.1]
289: [207.  328.4]
290: [392.  490.8]
291: [400.  481.8]
292: [117.  126.2]
293: [ 16. 451.]
294: [124.  369.2]
295: [208.  179.4]
296: [265.  433.5]
297: [281.   47.5]
298: [427.  171.8]
299: [18.  0.]
300: [374.   86.7]
301: [ 8. 69.]
302: [224.  305.4]
303: [ 70.  202.1]
304: [351.  463.7]
305: [221.  149.4]
306: [124.   80.2]
307: [231.  181.5]
308: [427.   15.8]
309: [435.  444.8]
310: [166.  321.3]
311: [143.  350.3]
312: [362.  486.7]
313: [238.  169.5]
314: [342.  319.7]
315: [416.  438.8]
316: [187.  317.4]
317: [ 25. 219.]
318: [67.  41.1]
319: [432.  184.8]
320: [267.   45.5]
321: [405.  265.8]
322: [236.  351.5]
323: [193.  322.4]
324: [179.  311.3]
325: [435.  465.8]
326: [ 20. 435.]
327: [211.  135.4]
328: [200.   88.4]
329: [30.  18.1]
330: [14. 80.]
331: [ 87.  168.2]
332: [183.  117.4]
333: [260.   79.5]
334: [392.  407.8]
335: [429.    0.8]
336: [153.  151.3]
337: [ 73.  191.1]
338: [127.  217.2]
339: [435.   19.8]
340: [361.  463.7]
341: [181.   98.4]
342: [181.  358.4]
343: [191.  120.4]
344: [151.  332.3]
345: [ 36.  426.1]
346: [266.  299.5]
347: [425.  283.8]
348: [210.  260.4]
349: [287.   83.6]
350: [203.  252.4]
351: [349.  378.7]
352: [278.  119.5]
353: [419.  379.8]
354: [390.  341.8]
355: [244.  344.5]
356: [228.  213.4]
357: [201.  233.4]
358: [ 43.  351.1]
359: [  0. 486.]
360: [247.  324.5]
361: [209.  269.4]
362: [ 60.  400.1]
363: [399.  434.8]
364: [386.  468.8]
365: [223.  108.4]
366: [137.  183.3]
367: [304.  318.6]
368: [178.  347.3]
369: [114.  371.2]
370: [348.  339.7]
371: [332.  489.6]
372: [449.  344.9]
373: [ 91.  140.2]
374: [416.  200.8]
375: [453.  132.9]
376: [230.  119.4]
377: [220.  346.4]
378: [ 71.  443.1]
379: [109.  161.2]
380: [ 23. 423.]
381: [473.   22.9]
382: [65.   0.1]
383: [216.   49.4]
384: [269.  444.5]
385: [170.  346.3]
386: [159.  329.3]
387: [441.  174.9]
388: [271.  105.5]
389: [407.   90.8]
390: [196.  241.4]
391: [412.  317.8]
392: [405.  442.8]
393: [  0. 151.]
394: [ 18. 186.]
395: [221.  319.4]
396: [448.   21.9]
397: [192.  228.4]
398: [383.  446.7]
399: [394.  269.8]
400: [142.  212.3]
401: [392.  162.8]
402: [222.  356.4]
403: [132.  333.3]
404: [391.  283.8]
405: [404.  403.8]
406: [410.  413.8]
407: [240.  107.5]
408: [42.  23.1]
409: [230.  313.4]
410: [390.  315.8]
411: [408.  383.8]
412: [344.  124.7]
413: [243.  356.5]
414: [356.  313.7]
415: [186.  380.4]
416: [114.  381.2]
417: [258.  341.5]
418: [199.  259.4]
419: [379.  305.7]
420: [5. 4.]
421: [418.    6.8]
422: [404.  252.8]
423: [239.  369.5]
424: [88.  34.2]
425: [ 98.  442.2]
426: [230.  390.4]
427: [290.  426.6]
428: [210.  346.4]
429: [252.  148.5]
430: [214.  352.4]
431: [112.   71.2]
432: [281.  302.5]
433: [422.   57.8]
434: [28.   0.1]
435: [466.  147.9]
436: [440.  199.9]
437: [404.  277.8]
438: [482.   53.9]
439: [243.  180.5]
440: [438.  132.9]
441: [467.   11.9]
442: [ 99.  142.2]
443: [418.  213.8]
444: [220.  194.4]
445: [ 69.  474.1]
446: [387.  429.8]
447: [386.  220.8]
448: [450.   43.9]
449: [58.  46.1]
450: [210.  146.4]
451: [220.  232.4]
452: [256.   39.5]
453: [188.   47.4]
454: [286.  259.6]
455: [327.  282.6]
456: [213.  383.4]
457: [137.  408.3]
458: [252.  483.5]
459: [279.  289.5]
460: [276.  389.5]
461: [220.  425.4]
462: [229.  476.4]
463: [120.  397.2]
464: [364.  267.7]
465: [260.    3.5]
466: [334.  307.7]
467: [335.  424.7]
468: [348.  292.7]
469: [112.  415.2]
470: [258.  330.5]
471: [238.   45.5]
472: [257.  247.5]
473: [192.   15.4]
474: [223.  402.4]
475: [111.  426.2]
476: [340.  462.7]
477: [458.   83.9]
478: [350.  351.7]
479: [329.  318.6]
480: [172.  378.3]
481: [317.  211.6]
482: [ 91.  474.2]
483: [185.  390.4]
484: [100.  396.2]
485: [319.  407.6]
486: [302.  435.6]
487: [241.   58.5]
488: [96.   3.2]
489: [287.  373.6]
490: [238.  418.5]
491: [214.  452.4]
492: [287.  383.6]
493: [231.  455.5]
494: [247.  423.5]
495: [191.  459.4]
496: [227.    0.4]
497: [301.  422.6]
498: [306.  361.6]
499: [326.  429.6]
500: [333.  293.7]
501: [277.  400.5]
502: [299.  456.6]
503: [167.  365.3]
504: [315.  322.6]
505: [341.  223.7]
506: [285.  230.6]
507: [331.  233.6]
508: [368.  280.7]
509: [254.  359.5]
510: [332.  438.6]
511: [380.  291.7]
512: [ 12. 440.]
513: [ 20. 141.]
514: [234.  360.5]
515: [339.   94.7]
516: [346.  104.7]
517: [258.  178.5]
518: [246.  366.5]
519: [271.   86.5]
520: [329.  121.6]
521: [125.  428.2]
522: [333.  387.7]
523: [361.  442.7]
524: [245.  261.5]
525: [323.  296.6]
526: [266.  422.5]
527: [395.  375.8]
528: [207.   22.4]
529: [128.   53.2]
530: [ 91.  488.2]
531: [205.  384.4]
532: [403.  321.8]
533: [  0. 127.]
534: [206.   52.4]
535: [393.  194.8]
536: [200.  342.4]
537: [367.  395.7]
538: [401.  292.8]
539: [189.  356.4]
540: [178.  224.3]
541: [392.  441.8]
542: [412.  289.8]
543: [491. 107.]
544: [263.  100.5]
545: [255.  125.5]
546: [258.  215.5]
547: [ 28.  103.1]
548: [195.   73.4]
549: [228.  360.4]
550: [245.   33.5]
551: [340.  482.7]
552: [381.  204.7]
553: [350.  492.7]
554: [308.  107.6]
555: [430.  374.8]
556: [323.  108.6]
557: [372.  367.7]
558: [236.  376.5]
559: [228.  368.4]
560: [271.  477.5]
561: [373.  444.7]
562: [249.  348.5]
563: [315.  223.6]
564: [176.  386.3]
565: [ 76.  419.1]
566: [220.  368.4]
567: [214.  360.4]
568: [242.  212.5]
569: [198.  186.4]
570: [266.  269.5]
571: [270.    0.5]
572: [248.   70.5]
573: [ 63.  435.1]
574: [242.  375.5]
575: [311.  304.6]
576: [435.   64.8]
577: [295.  364.6]
578: [335.  467.7]
579: [ 87.  423.2]
580: [259.  444.5]
581: [257.  425.5]
582: [251.  110.5]
583: [300.  295.6]
584: [247.  334.5]
585: [355.  117.7]
586: [142.  394.3]
587: [302.  283.6]
588: [ 92.  404.2]
589: [343.  245.7]
590: [373.  192.7]
591: [198.   40.4]
592: [261.  348.5]
593: [339.  353.7]
594: [86.   0.2]
595: [238.  406.5]
596: [306.  270.6]
597: [191.   27.4]
598: [198.  359.4]
599: [233.   27.5]
600: [215.  374.4]
601: [258.  269.5]
602: [312.  288.6]
603: [ 60.  462.1]
604: [287.  277.6]
605: [210.  462.4]
606: [254.  368.5]
607: [326.  329.6]
608: [262.  256.5]
609: [346.  471.7]
610: [210.   73.4]
611: [451.   57.9]
612: [243.  411.5]
613: [247.  471.5]
614: [287.  295.6]
615: [353.  443.7]
616: [331.  203.6]
617: [ 85.  407.2]
618: [348.  363.7]
619: [309.  373.6]
620: [ 93.  413.2]
621: [239.  395.5]
622: [311.  398.6]
623: [204.  444.4]
624: [280.  426.5]
625: [176.   49.3]
626: [257.  400.5]
627: [119.  435.2]
628: [219.  393.4]
629: [250.  391.5]
630: [256.  412.5]
631: [317.  383.6]
632: [260.  388.5]
633: [285.  141.6]
634: [295.  225.6]
635: [189.  407.4]
636: [209.  367.4]
637: [312.  246.6]
638: [312.  419.6]
639: [265.  357.5]
640: [193.  386.4]
641: [182.  370.4]
642: [102.  483.2]
643: [221.  384.4]
644: [322.  309.6]
645: [345.  306.7]
646: [271.  247.5]
647: [248.  242.5]
648: [234.  437.5]
649: [195.  401.4]
650: [305.  186.6]
651: [259.  137.5]
652: [298.  133.6]
653: [222.  182.4]
654: [329.  175.6]
655: [71.  25.1]
656: [170.  387.3]
657: [386.  416.8]
658: [491. 124.]
659: [177.  259.3]
660: [191.  338.4]
661: [358.  430.7]
662: [299.  210.6]
663: [145.  383.3]
664: [306.  388.6]
665: [201.  391.4]
666: [265.  190.5]
667: [239.  254.5]
668: [278.  268.5]
669: [248.  457.5]
670: [345.  388.7]
671: [135.  417.3]
672: [331.  267.6]
673: [274.  276.5]
674: [348.  193.7]
675: [155.  410.3]
676: [ 83.  438.2]
677: [116.    0.2]
678: [146.  413.3]
679: [125.  388.2]
680: [433.  116.8]
681: [325.  134.6]
682: [318.  235.6]
683: [181.  410.4]
684: [337.  254.7]
685: [127.   31.2]
686: [ 97.  461.2]
687: [247.  232.5]
688: [333.  363.7]
689: [115.  459.2]
690: [209.  410.4]
