0: [169.  206.3]
1: [ 80.  368.2]
2: [ 53.  382.1]
3: [115.  404.2]
4: [122.  409.2]
5: [ 73.  398.1]
6: [ 65.  391.1]
7: [118.  420.2]
8: [ 49.  391.1]
9: [150.  440.3]
10: [134.  418.3]
11: [ 75.  388.1]
12: [113.  397.2]
13: [ 76.  407.1]
14: [119.  414.2]
15: [128.  423.2]
16: [127.  403.2]
17: [111.  411.2]
18: [135.  396.3]
19: [132.  412.3]
20: [ 66.  402.1]
21: [103.  387.2]
22: [155.  460.3]
23: [125.  366.2]
24: [ 82.  377.2]
25: [135.  428.3]
26: [ 94.  390.2]
27: [ 72.  379.1]
28: [142.  427.3]
29: [468.  385.9]
30: [106.  367.2]
31: [ 54.  397.1]
32: [143.  381.3]
33: [ 67.  363.1]
34: [152.  428.3]
35: [146.  420.3]
36: [157.  398.3]
37: [144.  393.3]
38: [ 57.  404.1]
39: [507. 407.]
40: [ 38.  386.1]
41: [ 75.  363.1]
42: [ 62.  382.1]
43: [501. 416.]
44: [ 47.  358.1]
45: [145.  457.3]
46: [ 42.  399.1]
47: [144.  434.3]
48: [ 51.  348.1]
49: [152.  394.3]
50: [238.  425.5]
51: [468.  358.9]
52: [156.  438.3]
53: [ 59.  358.1]
54: [503. 397.]
55: [115.  368.2]
56: [161.  404.3]
57: [472.  374.9]
58: [491. 398.]
59: [ 95.  375.2]
60: [145.  409.3]
61: [134.  448.3]
62: [149.  447.3]
63: [ 20. 391.]
64: [133.  355.3]
65: [163.  374.3]
66: [ 26.  378.1]
67: [158.  417.3]
68: [ 60.  374.1]
69: [119.  430.2]
70: [126.  438.2]
71: [460.  376.9]
72: [170.  405.3]
73: [157.  385.3]
74: [162.  430.3]
75: [140.  443.3]
76: [488. 378.]
77: [477.  390.9]
78: [ 44.  372.1]
79: [112.  382.2]
80: [ 82.  396.2]
81: [198.  480.4]
82: [208.  493.4]
83: [203.  414.4]
84: [193.  502.4]
85: [335.  135.7]
86: [289.  186.6]
87: [469.  431.9]
88: [197.  469.4]
89: [211.  387.4]
90: [423.  341.8]
91: [389.  507.8]
92: [402.  327.8]
93: [265.   11.5]
94: [245.  433.5]
95: [188.  495.4]
96: [453.  487.9]
97: [473.  500.9]
98: [195.  416.4]
99: [125.  485.2]
100: [ 75.  441.1]
101: [446.  471.9]
102: [453.  401.9]
103: [133.  457.3]
104: [ 82.  448.2]
105: [ 57.  417.1]
106: [449.  380.9]
107: [449.  166.9]
108: [423.  503.8]
109: [454.  222.9]
110: [445.  156.9]
111: [181.  453.4]
112: [255.  483.5]
113: [206.  214.4]
114: [214.  132.4]
115: [486.  192.9]
116: [276.    8.5]
117: [  8. 371.]
118: [359.   25.7]
119: [205.  462.4]
120: [177.  105.3]
121: [254.  138.5]
122: [450.  111.9]
123: [222.  428.4]
124: [474.  238.9]
125: [259.  507.5]
126: [433.  301.8]
127: [227.   73.4]
128: [209.  155.4]
129: [385.  486.8]
130: [219.  495.4]
131: [402.  383.8]
132: [294.   21.6]
133: [373.  136.7]
134: [165.   25.3]
135: [244.   16.5]
136: [466.    6.9]
137: [ 99.  452.2]
138: [ 41.  431.1]
139: [128.  381.2]
140: [ 25. 403.]
141: [404.    5.8]
142: [ 43.  208.1]
143: [338.  480.7]
144: [ 13. 349.]
145: [230.  501.4]
146: [435.  216.8]
147: [151.  344.3]
148: [223.   82.4]
149: [383.  359.7]
150: [471.  276.9]
151: [335.   39.7]
152: [251.  507.5]
153: [471.  340.9]
154: [198.   14.4]
155: [238.  244.5]
156: [292.  354.6]
157: [281.  415.5]
158: [377.  479.7]
159: [337.  213.7]
160: [227.  110.4]
161: [227.   19.4]
162: [339.  363.7]
163: [181.  243.4]
164: [215.  148.4]
165: [321.  404.6]
166: [265.   86.5]
167: [345.   23.7]
168: [443.  320.9]
169: [316.  377.6]
170: [159.   63.3]
171: [379.  330.7]
172: [265.  179.5]
173: [412.  367.8]
174: [373.  333.7]
175: [258.   57.5]
176: [105.  289.2]
177: [345.  379.7]
178: [258.  499.5]
179: [392.  285.8]
180: [303.  229.6]
181: [162.  316.3]
182: [485.  230.9]
183: [170.   31.3]
184: [209.  200.4]
185: [351.  171.7]
186: [248.    5.5]
187: [197.   72.4]
188: [342.   98.7]
189: [291.  233.6]
190: [374.  221.7]
191: [214.  121.4]
192: [287.  106.6]
193: [152.  311.3]
194: [215.  462.4]
195: [302.  142.6]
196: [223.   31.4]
197: [357.  378.7]
198: [309.  364.6]
199: [456.  177.9]
200: [413.   44.8]
201: [95.   2.2]
202: [336.   34.7]
203: [494. 145.]
204: [366.  243.7]
205: [205.  105.4]
206: [480.  330.9]
207: [391.  179.8]
208: [469.  186.9]
209: [289.    9.6]
210: [110.  509.2]
211: [502. 309.]
212: [312.  281.6]
213: [301.   14.6]
214: [ 84.  475.2]
215: [374.  319.7]
216: [210.   34.4]
217: [434.  341.8]
218: [332.  398.6]
219: [184.  234.4]
220: [  0. 245.]
221: [386.  416.8]
222: [245.  264.5]
223: [202.   35.4]
224: [233.  121.5]
225: [302.  352.6]
226: [283.  291.6]
227: [416.  187.8]
228: [431.  313.8]
229: [259.  120.5]
230: [357.   50.7]
231: [298.   41.6]
232: [174.  115.3]
233: [258.  234.5]
234: [145.   15.3]
235: [180.   55.4]
236: [355.  300.7]
237: [261.  210.5]
238: [233.   40.5]
239: [124.  237.2]
240: [122.  208.2]
241: [249.   41.5]
242: [186.   17.4]
243: [418.   29.8]
244: [315.   91.6]
245: [ 97.  490.2]
246: [233.   48.5]
247: [ 0. 46.]
248: [423.  457.8]
249: [391.  383.8]
250: [290.  277.6]
251: [242.  119.5]
252: [257.  282.5]
253: [194.  238.4]
254: [226.  287.4]
255: [249.  113.5]
256: [352.  386.7]
257: [255.  109.5]
258: [262.   76.5]
259: [258.   30.5]
260: [239.  289.5]
261: [107.  193.2]
262: [375.  158.7]
263: [299.  243.6]
264: [379.  465.7]
265: [390.  241.8]
266: [262.  288.5]
267: [213.  265.4]
268: [157.   95.3]
269: [345.  408.7]
270: [ 91.  189.2]
271: [377.  249.7]
272: [383.  393.7]
273: [405.  231.8]
274: [123.  139.2]
275: [279.  345.5]
276: [253.  356.5]
277: [246.   35.5]
278: [417.  220.8]
279: [240.   66.5]
280: [113.  166.2]
281: [331.  378.6]
282: [152.  159.3]
283: [390.  193.8]
284: [367.  350.7]
285: [292.   49.6]
286: [240.   45.5]
287: [366.  465.7]
288: [135.  185.3]
289: [153.   39.3]
290: [373.  397.7]
291: [374.  382.7]
292: [279.  125.5]
293: [270.  402.5]
294: [233.    4.5]
295: [251.   51.5]
296: [ 51.  502.1]
297: [395.   52.8]
298: [294.  252.6]
299: [303.  414.6]
300: [375.  180.7]
301: [319.  194.6]
302: [155.   33.3]
303: [250.  165.5]
304: [401.  405.8]
305: [261.   65.5]
306: [272.  144.5]
307: [263.   20.5]
308: [457.  299.9]
309: [358.  362.7]
310: [167.   44.3]
311: [213.   40.4]
312: [436.  331.9]
313: [281.   60.5]
314: [477.   69.9]
315: [374.  343.7]
316: [156.   50.3]
317: [214.  190.4]
318: [319.  168.6]
319: [286.  254.6]
320: [386.   45.8]
321: [  0. 262.]
322: [194.   20.4]
323: [152.   47.3]
324: [165.   56.3]
325: [351.  371.7]
326: [358.  213.7]
327: [274.   56.5]
328: [306.   94.6]
329: [332.  188.6]
330: [308.  183.6]
331: [242.  146.5]
332: [295.   93.6]
333: [348.   85.7]
334: [426.  319.8]
335: [361.  287.7]
336: [259.   90.5]
337: [250.  158.5]
338: [138.  128.3]
339: [463.  287.9]
340: [416.  385.8]
341: [308.   74.6]
342: [193.   26.4]
343: [303.   55.6]
344: [172.   40.3]
345: [344.  239.7]
346: [ 89.  499.2]
347: [503. 262.]
348: [223.   14.4]
349: [356.  112.7]
350: [220.   23.4]
351: [465.  481.9]
352: [316.   18.6]
353: [396.  273.8]
354: [447.  191.9]
355: [145.    5.3]
356: [242.   11.5]
357: [225.   38.4]
358: [ 65.  215.1]
359: [293.  382.6]
360: [140.   11.3]
361: [227.   28.4]
362: [ 25. 230.]
363: [385.  336.8]
364: [393.  375.8]
365: [60.  92.1]
366: [234.  112.5]
367: [16. 62.]
368: [193.   31.4]
369: [235.  507.5]
370: [413.  132.8]
371: [431.  433.8]
372: [277.  376.5]
373: [126.  162.2]
374: [287.  263.6]
375: [305.  238.6]
376: [276.   80.5]
377: [169.   25.3]
378: [369.   47.7]
379: [252.  124.5]
380: [219.  352.4]
381: [502. 297.]
382: [358.  178.7]
383: [344.   63.7]
384: [ 29.  467.1]
385: [189.   35.4]
386: [175.   35.3]
387: [271.  247.5]
388: [333.   66.7]
389: [502. 212.]
390: [226.   48.4]
391: [469.  265.9]
392: [383.  348.7]
393: [ 62.  204.1]
394: [212.  219.4]
395: [156.   27.3]
396: [474.  292.9]
397: [226.   57.4]
398: [400.  355.8]
399: [500. 243.]
400: [219.   98.4]
401: [205.  360.4]
402: [162.   16.3]
403: [207.   24.4]
404: [479.  204.9]
405: [410.  313.8]
406: [396.  315.8]
407: [275.   86.5]
408: [329.  181.6]
409: [150.   21.3]
410: [400.  174.8]
411: [411.  277.8]
412: [352.  162.7]
413: [151.    6.3]
414: [454.  148.9]
415: [189.  509.4]
416: [214.  477.4]
417: [206.  481.4]
418: [214.   27.4]
419: [399.  163.8]
420: [483.  280.9]
421: [454.  312.9]
422: [  1. 254.]
423: [157.    4.3]
424: [344.   31.7]
425: [199.  406.4]
426: [160.  509.3]
427: [ 40.  456.1]
428: [174.   19.3]
429: [296.   68.6]
430: [167.   19.3]
431: [312.  134.6]
432: [ 83.  500.2]
433: [379.  493.7]
434: [310.  422.6]
435: [ 34.  204.1]
436: [138.  299.3]
437: [507. 276.]
438: [375.  168.7]
439: [267.   53.5]
440: [314.  238.6]
441: [486.  298.9]
442: [121.  150.2]
443: [299.  263.6]
444: [253.   23.5]
445: [507. 106.]
446: [408.  336.8]
447: [264.  416.5]
448: [411.  154.8]
449: [324.  163.6]
450: [252.   61.5]
451: [251.    0.5]
452: [377.  146.7]
453: [216.  394.4]
454: [212.  447.4]
455: [173.  363.3]
456: [160.  503.3]
457: [179.  462.3]
458: [466.  401.9]
459: [211.  457.4]
460: [178.  408.3]
461: [123.  448.2]
462: [ 10. 411.]
463: [211.  466.4]
464: [378.   23.7]
465: [472.   19.9]
466: [462.  120.9]
467: [481.  358.9]
468: [471.  113.9]
469: [188.  448.4]
470: [139.  509.3]
471: [497.  56.]
472: [235.  473.5]
473: [507. 500.]
474: [141.  479.3]
475: [179.  445.3]
476: [430.  397.8]
477: [343.  189.7]
478: [425.   46.8]
479: [ 72.  327.1]
480: [198.  500.4]
481: [277.  467.5]
482: [506.  81.]
483: [152.  497.3]
484: [267.  467.5]
485: [ 40.  341.1]
486: [509. 447.]
487: [13. 41.]
488: [21.  6.]
489: [190.  404.4]
490: [111.  468.2]
491: [ 90.  437.2]
492: [183.  411.4]
493: [ 86.  429.2]
494: [110.  450.2]
495: [ 97.  403.2]
496: [  0. 385.]
497: [ 82.  354.2]
498: [ 27.  490.1]
499: [444.  393.9]
500: [490. 107.]
501: [171.  425.3]
502: [446.  423.9]
503: [197.    7.4]
504: [ 95.  329.2]
505: [298.  470.6]
506: [280.  499.5]
507: [263.  445.5]
508: [497. 130.]
509: [211.  484.4]
510: [437.  380.9]
511: [480.  178.9]
512: [264.  395.5]
513: [285.  195.6]
514: [150.   11.3]
515: [362.  169.7]
516: [288.  429.6]
517: [272.   15.5]
518: [147.  511.3]
519: [353.   96.7]
520: [344.   41.7]
521: [169.  441.3]
522: [ 27.  358.1]
523: [437.  353.9]
524: [240.  488.5]
525: [505.  95.]
526: [ 59.  476.1]
527: [431.  287.8]
528: [476.   89.9]
529: [330.   29.6]
530: [199.  372.4]
531: [174.  497.3]
532: [468.  230.9]
533: [291.  214.6]
534: [325.  455.6]
535: [193.  346.4]
536: [174.   24.3]
537: [419.    9.8]
538: [478.  219.9]
539: [188.   23.4]
540: [221.   64.4]
541: [395.  344.8]
542: [498. 270.]
543: [309.  208.6]
544: [330.   75.6]
545: [300.   22.6]
546: [262.  487.5]
547: [294.  178.6]
548: [321.   87.6]
549: [162.   10.3]
550: [455.   96.9]
551: [439.  437.9]
552: [278.  439.5]
553: [446.  330.9]
554: [340.  121.7]
555: [420.  263.8]
556: [344.  146.7]
557: [398.  505.8]
558: [162.    5.3]
559: [170.    0.3]
560: [454.  437.9]
561: [403.  365.8]
562: [203.  485.4]
563: [258.  457.5]
564: [192.  492.4]
565: [217.  432.4]
566: [168.    4.3]
567: [167.   10.3]
568: [270.   23.5]
569: [246.   48.5]
570: [228.  465.4]
571: [463.   51.9]
572: [32.  44.1]
573: [  1. 115.]
574: [154.  511.3]
575: [219.  414.4]
576: [390.   32.8]
577: [32.   3.1]
578: [437.  403.9]
579: [214.  419.4]
580: [ 63.  452.1]
581: [ 71.  471.1]
582: [320.   71.6]
583: [220.  407.4]
584: [140.    3.3]
585: [223.  379.4]
586: [194.  477.4]
587: [210.  410.4]
588: [253.  450.5]
589: [266.  438.5]
590: [366.   31.7]
591: [120.  336.2]
592: [207.  474.4]
593: [492.  14.]
594: [160.  364.3]
