0: [448.  170.9]
1: [385.  324.8]
2: [337.  316.7]
3: [398.  350.8]
4: [412.  350.8]
5: [351.  331.7]
6: [346.  327.7]
7: [415.  357.8]
8: [338.  325.7]
9: [497. 347.]
10: [414.  364.8]
11: [347.  324.7]
12: [395.  343.8]
13: [355.  333.7]
14: [411.  354.8]
15: [422.  362.8]
16: [406.  348.8]
17: [420.  352.8]
18: [410.  341.8]
19: [408.  365.8]
20: [350.  336.7]
21: [392.  333.8]
22: [478.  385.9]
23: [329.  386.6]
24: [354.  312.7]
25: [420.  371.8]
26: [360.  315.7]
27: [350.  316.7]
28: [416.  394.8]
29: [307.  316.6]
30: [333.  375.7]
31: [342.  330.7]
32: [349.  391.7]
33: [334.  365.7]
34: [409.  399.8]
35: [398.  388.8]
36: [369.  397.7]
37: [374.  384.7]
38: [344.  334.7]
39: [313.  355.6]
40: [329.  319.6]
41: [337.  369.7]
42: [344.  316.7]
43: [319.  353.6]
44: [322.  359.6]
45: [469.  378.9]
46: [335.  328.7]
47: [410.  390.8]
48: [316.  372.6]
49: [369.  391.7]
50: [507. 326.]
51: [291.  308.6]
52: [491. 341.]
53: [325.  367.6]
54: [313.  350.6]
55: [332.  380.6]
56: [374.  403.7]
57: [301.  316.6]
58: [315.  345.6]
59: [391.  325.8]
60: [387.  383.8]
61: [427.  378.8]
62: [503. 339.]
63: [320.  340.6]
64: [314.  407.6]
65: [341.  402.7]
66: [326.  349.6]
67: [389.  395.8]
68: [346.  312.7]
69: [397.  367.8]
70: [411.  379.8]
71: [296.  315.6]
72: [376.  414.7]
73: [356.  399.7]
74: [398.  400.8]
75: [426.  389.8]
76: [304.  333.6]
77: [303.  324.6]
78: [333.  356.7]
79: [343.  379.7]
80: [357.  325.7]
81: [437.  424.9]
82: [454.  430.9]
83: [458.  307.9]
84: [486.  443.9]
85: [293.   56.6]
86: [257.   30.5]
87: [347.  279.7]
88: [ 21. 403.]
89: [272.  444.5]
90: [257.  291.5]
91: [232.  398.5]
92: [243.  294.5]
93: [401.  490.8]
94: [333.  442.7]
95: [480.  430.9]
96: [269.  357.5]
