286: [250.   98.5]
287: [  8. 501.]
288: [385.  154.8]
289: [302.   38.6]
290: [ 53.  428.1]
291: [ 57.  413.1]
292: [407.   73.8]
293: [310.  334.6]
294: [218.   62.4]
295: [234.   99.5]
296: [278.  428.5]
297: [38.  22.1]
298: [269.  281.5]
299: [406.  424.8]
300: [  2. 232.]
301: [234.  260.5]
302: [303.   30.6]
303: [275.  188.5]
304: [ 74.  369.1]
305: [238.  123.5]
306: [232.  188.5]
307: [219.  103.4]
308: [510. 356.]
309: [ 33.  392.1]
310: [291.   59.6]
311: [256.   72.5]
312: [ 81.  425.2]
313: [210.  118.4]
314: [125.  290.2]
315: [ 46.  389.1]
316: [302.   51.6]
317: [323.  190.6]
318: [199.  229.4]
319: [275.  275.5]
320: [49.  13.1]
321: [277.  341.5]
322: [256.   48.5]
323: [305.   47.6]
324: [301.   59.6]
325: [ 16. 400.]
326: [308.  326.6]
327: [204.  108.4]
328: [379.  503.7]
329: [216.  274.4]
330: [222.  241.4]
331: [275.  172.5]
332: [207.  155.4]
333: [437.   25.9]
334: [ 29.  355.1]
335: [510. 427.]
336: [244.  139.5]
337: [271.  182.5]
338: [290.  127.6]
339: [  4. 337.]
340: [ 94.  381.2]
341: [381.    0.7]
342: [261.   53.5]
343: [194.  143.4]
344: [269.   64.5]
345: [305.  317.6]
346: [172.   23.3]
347: [291.  334.6]
348: [232.   62.5]
349: [400.  484.8]
350: [238.   65.5]
351: [480.  444.9]
352: [165.  151.3]
353: [500. 371.]
354: [441.  411.9]
355: [280.  509.5]
356: [229.   82.4]
357: [246.   81.5]
358: [301.  238.6]
359: [435.  334.8]
360: [289.    1.6]
361: [241.   75.5]
362: [307.  283.6]
363: [ 47.  381.1]
364: [ 72.  400.1]
365: [376.    9.7]
366: [250.  153.5]
367: [499. 113.]
368: [267.   55.5]
369: [209.   59.4]
370: [ 77.  490.2]
371: [ 60.  343.1]
372: [339.  343.7]
373: [392.  122.8]
374: [288.  288.6]
375: [247.  276.5]
376: [232.  141.5]
377: [283.   29.6]
378: [63.  50.1]
379: [247.  162.5]
380: [337.  302.7]
381: [507. 292.]
382: [200.  291.4]
383: [425.  505.8]
384: [260.  400.5]
385: [272.   52.5]
386: [285.   38.6]
387: [278.  264.5]
388: [404.  505.8]
389: [245.  332.5]
390: [232.   75.5]
391: [427.  421.8]
392: [ 54.  387.1]
393: [294.  232.6]
394: [316.  209.6]
395: [279.   32.5]
396: [505. 330.]
397: [250.   90.5]
398: [ 69.  382.1]
399: [ 86.  214.2]
400: [272.  118.5]
401: [254.  304.5]
402: [276.   22.5]
403: [250.   59.5]
404: [ 71.  222.1]
405: [ 22. 362.]
406: [ 30.  371.1]
407: [233.  147.5]
408: [207.  267.4]
409: [293.   14.6]
410: [ 61.  238.1]
411: [508. 390.]
412: [191.  285.4]
413: [278.    3.5]
414: [461.  451.9]
415: [240.   31.5]
416: [193.   37.4]
417: [195.   24.4]
418: [246.   65.5]
419: [ 45.  224.1]
420: [440.  433.9]
421: [  5. 442.]
422: [275.  334.5]
423: [272.    6.5]
424: [166.  218.3]
425: [114.   28.2]
426: [259.    4.5]
427: [240.  377.5]
428: [270.   33.5]
429: [209.  145.4]
430: [273.   29.5]
