0: [419.   44.8]
1: [363.  349.7]
2: [356.  321.7]
3: [159.  370.3]
4: [160.  377.3]
5: [378.  321.7]
6: [369.  318.7]
7: [172.  380.3]
8: [364.  310.7]
9: [134.  403.3]
10: [157.  389.3]
11: [374.  326.7]
12: [153.  367.3]
13: [383.  314.7]
14: [164.  381.3]
15: [162.  393.3]
16: [151.  377.3]
17: [167.  372.3]
18: [143.  369.3]
19: [153.  385.3]
20: [374.  310.7]
21: [388.  344.8]
22: [130.  424.3]
23: [396.  366.8]
24: [373.  339.7]
25: [152.  397.3]
26: [386.  335.8]
27: [367.  332.7]
28: [145.  400.3]
29: [363.  276.7]
30: [371.  365.7]
31: [370.  304.7]
32: [110.  337.2]
33: [352.  348.7]
34: [132.  391.3]
35: [137.  379.3]
36: [108.  353.2]
37: [116.  346.2]
38: [378.  301.7]
39: [328.  308.6]
40: [355.  308.7]
41: [358.  357.7]
42: [359.  329.7]
43: [331.  317.6]
44: [336.  341.7]
45: [144.  415.3]
46: [363.  301.7]
47: [140.  396.3]
48: [327.  348.6]
49: [116.  355.2]
50: [ 19. 344.]
51: [398.  223.8]
52: [128.  399.2]
53: [341.  352.7]
54: [337.  299.7]
55: [384.  366.8]
56: [107.  362.2]
57: [355.  273.7]
58: [348.  296.7]
59: [374.  351.7]
60: [144.  386.3]
61: [160.  406.3]
62: [135.  410.3]
63: [363.  287.7]
64: [375.  377.7]
65: [413.  365.8]
66: [344.  309.7]
67: [128.  377.2]
68: [356.  337.7]
69: [175.  389.3]
70: [172.  399.3]
71: [360.  267.7]
72: [ 81.  369.2]
73: [100.  343.2]
74: [124.  385.2]
75: [151.  408.3]
76: [341.  288.7]
77: [351.  281.7]
78: [341.  328.7]
79: [391.  354.8]
80: [387.  322.8]
81: [ 90.  431.2]
82: [ 98.  438.2]
83: [ 54.  349.1]
84: [111.  457.2]
85: [181.   91.4]
86: [418.  421.8]
87: [422.  288.8]
88: [ 93.  420.2]
89: [385.  388.8]
90: [388.  225.8]
91: [279.  332.5]
92: [389.  213.8]
93: [ 33.  477.1]
94: [  9. 362.]
95: [118.  447.2]
96: [314.  302.6]
97: [453.  307.9]
98: [ 70.  365.1]
99: [166.  444.3]
100: [142.  345.3]
101: [305.  307.6]
102: [390.  268.8]
103: [165.  414.3]
104: [130.  346.3]
105: [389.  304.8]
106: [360.  257.7]
107: [285.  341.6]
108: [302.  286.6]
109: [246.  289.5]
110: [295.  345.6]
111: [ 97.  396.2]
112: [ 36.  432.1]
113: [404.  496.8]
114: [486.   32.9]
115: [ 70.  233.1]
116: [  9. 464.]
117: [439.  291.9]
118: [398.  401.8]
119: [ 88.  411.2]
120: [28.  22.1]
121: [482.  492.9]
122: [311.  370.6]
123: [ 46.  363.1]
124: [ 60.  262.1]
125: [ 43.  465.1]
126: [420.  227.8]
127: [94.  75.2]
128: [463.   18.9]
129: [265.  332.5]
130: [ 91.  451.2]
131: [349.  231.7]
132: [  1. 436.]
133: [313.  402.6]
134: [135.    1.3]
135: [ 56.  452.1]
136: [460.  297.9]
137: [130.  367.3]
138: [407.  320.8]
139: [121.  332.2]
140: [375.  285.7]
141: [296.  296.6]
142: [170.  137.3]
143: [423.  387.8]
144: [506. 274.]
145: [ 61.  447.1]
146: [447.  180.9]
147: [238.   95.5]
148: [27.   1.1]
149: [357.  209.7]
150: [255.  316.5]
151: [435.  409.8]
152: [ 48.  465.1]
153: [419.  236.8]
154: [ 97.  482.2]
155: [366.  478.7]
156: [332.  126.6]
157: [103.  217.2]
158: [486.  219.9]
159: [292.   18.6]
160: [507. 505.]
161: [ 69.  472.1]
162: [321.  167.6]
163: [379.   10.7]
164: [471.   15.9]
165: [459.  179.9]
166: [111.   89.2]
167: [427.  403.8]
168: [313.  241.6]
169: [398.  153.8]
170: [81.  36.2]
171: [377.  194.7]
172: [435.  452.8]
173: [356.  235.7]
174: [372.  190.7]
175: [ 28.  489.1]
176: [116.  176.2]
177: [376.  182.7]
178: [ 37.  461.1]
179: [416.  202.8]
180: [364.  433.7]
181: [209.  157.4]
182: [ 55.  250.1]
183: [131.    6.3]
184: [411.    1.8]
185: [380.  403.7]
186: [ 56.  472.1]
187: [51.   9.1]
188: [192.   79.4]
189: [363.  441.7]
190: [211.  267.4]
191: [508.  22.]
