0: [178.  437.3]
1: [127.  224.2]
2: [122.  232.2]
3: [ 59.  204.1]
4: [ 60.  195.1]
5: [ 96.  228.2]
6: [102.  235.2]
7: [ 71.  196.1]
8: [103.  249.2]
9: [ 75.  170.1]
10: [ 59.  185.1]
11: [103.  223.2]
12: [ 52.  204.1]
13: [ 88.  228.2]
14: [ 65.  197.1]
15: [ 67.  187.1]
16: [ 51.  195.1]
17: [ 67.  204.1]
18: [ 91.  204.2]
19: [ 53.  186.1]
20: [ 94.  235.2]
21: [112.  210.2]
22: [ 64.  159.1]
23: [135.  199.3]
24: [113.  223.2]
25: [ 68.  179.1]
26: [104.  213.2]
27: [110.  230.2]
28: [ 75.  177.1]
29: [108.  277.2]
30: [133.  213.3]
31: [ 98.  245.2]
32: [121.  197.2]
33: [137.  230.3]
34: [ 85.  181.2]
35: [ 89.  195.2]
36: [116.  188.2]
37: [104.  200.2]
38: [ 90.  244.2]
39: [146.  262.3]
40: [110.  254.2]
41: [134.  222.3]
42: [110.  242.2]
43: [142.  253.3]
44: [148.  245.3]
45: [ 59.  166.1]
46: [ 98.  256.2]
47: [ 78.  183.2]
48: [158.  240.3]
49: [111.  193.2]
50: [208.  163.4]
51: [152.  292.3]
52: [ 81.  169.2]
53: [147.  234.3]
54: [137.  261.3]
55: [136.  207.3]
56: [121.  182.2]
57: [116.  279.2]
58: [127.  263.2]
59: [121.  218.2]
60: [ 80.  194.2]
61: [ 50.  172.1]
62: [ 70.  166.1]
63: [101.  269.2]
64: [179.  211.3]
65: [168.  199.3]
66: [119.  258.2]
67: [ 98.  192.2]
68: [116.  238.2]
69: [ 44.  188.1]
70: [ 42.  180.1]
71: [119.  285.2]
72: [127.  177.2]
73: [129.  191.3]
74: [ 94.  184.2]
75: [ 57.  175.1]
76: [133.  272.3]
77: [120.  272.2]
78: [133.  242.3]
79: [123.  206.2]
80: [ 94.  219.2]
81: [ 96.  137.2]
82: [ 87.  131.2]
83: [175.  174.3]
84: [ 82.  111.2]
85: [259.   56.5]
86: [279.   13.5]
87: [ 42.  250.1]
88: [100.  148.2]
89: [239.  191.5]
90: [ 23. 270.]
91: [194.  287.4]
92: [ 15. 280.]
93: [151.   62.3]
94: [214.  152.4]
95: [ 75.  124.1]
96: [165.  274.3]
97: [173.  251.3]
98: [133.  172.3]
99: [ 28.  154.1]
100: [ 34.  215.1]
101: [174.  277.3]
102: [ 96.  287.2]
103: [ 44.  166.1]
104: [ 19. 208.]
105: [ 78.  245.2]
106: [123.  293.2]
107: [378.  421.7]
108: [164.  288.3]
109: [171.  324.3]
110: [379.  436.7]
111: [103.  165.2]
112: [158.  111.3]
113: [216.  451.4]
114: [144.  501.3]
115: [317.  287.6]
116: [185.   87.4]
117: [ 15. 245.]
118: [295.   89.6]
119: [106.  157.2]
120: [91.   3.2]
121: [182.   10.4]
122: [199.  252.4]
123: [166.  168.3]
124: [360.  403.7]
125: [136.   96.3]
126: [504. 277.]
127: [125.   44.2]
128: [154.  479.3]
129: [471.  384.9]
130: [110.  113.2]
131: [ 50.  277.1]
132: [198.   91.4]
133: [249.  253.5]
134: [26.  92.1]
135: [121.   75.2]
136: [422.  390.8]
137: [ 23. 195.]
138: [ 44.  228.1]
139: [ 10. 214.]
140: [ 88.  266.2]
141: [175.  290.3]
142: [291.  479.6]
143: [282.  103.6]
144: [463.  243.9]
145: [118.  100.2]
146: [480.  356.9]
147: [335.  468.7]
148: [120.   37.2]
149: [ 32.  300.1]
150: [390.   20.8]
151: [270.   61.5]
152: [126.   84.2]
153: [453.  326.9]
154: [ 85.  102.2]
155: [244.  428.5]
156: [380.   91.7]
157: [380.  157.7]
158: [399.  485.8]
159: [317.  174.6]
160: [136.   14.3]
161: [109.   86.2]
162: [  4. 328.]
163: [207.  420.4]
164: [157.  489.3]
165: [494. 379.]
166: [173.   66.3]
167: [276.   69.5]
168: [ 86.  311.2]
169: [  7. 366.]
170: [47.  28.1]
171: [  7. 295.]
172: [242.    0.5]
173: [ 41.  277.1]
174: [  4. 300.]
175: [144.   55.3]
176: [151.  392.3]
177: [506. 310.]
178: [148.   95.3]
179: [499. 300.]
180: [291.  471.6]
181: [299.  400.6]
182: [359.  426.7]
183: [23. 87.]
184: [199.  448.4]
185: [314.   38.6]
186: [121.   90.2]
187: [95.  52.2]
188: [263.  109.5]
189: [286.  463.6]
190: [391.   64.8]
191: [131.    2.3]
192: [485.   56.9]
193: [294.  407.6]
194: [136.  140.3]
195: [470.   47.9]
196: [102.   73.2]
197: [ 53.  330.1]
198: [  0. 358.]
199: [204.  281.4]
200: [463.  396.9]
201: [113.  131.2]
202: [268.   55.5]
203: [390.  220.8]
204: [496. 386.]
205: [116.   11.2]
206: [402.  352.8]
207: [222.  295.4]
208: [365.   30.7]
209: [191.  109.4]
210: [  0. 142.]
211: [336.  320.7]
212: [244.  289.5]
213: [208.   94.4]
214: [507. 177.]
215: [ 65.  315.1]
216: [95.  82.2]
217: [132.  319.3]
218: [496. 364.]
219: [207.  428.4]
220: [362.  182.7]
221: [ 93.  324.2]
222: [261.  398.5]
223: [75.  40.1]
224: [148.   10.3]
225: [ 17. 371.]
226: [205.  348.4]
227: [153.  333.3]
228: [511. 271.]
229: [171.   25.3]
230: [268.  172.5]
231: [482.   82.9]
232: [ 94.  504.2]
233: [263.  447.5]
234: [ 34.  108.1]
235: [63.  42.1]
236: [ 65.  337.1]
237: [269.  475.5]
238: [ 0. 77.]
239: [176.  414.3]
240: [213.  474.4]
241: [126.   56.2]
242: [69.  78.1]
243: [457.  368.9]
244: [478.   44.9]
245: [  2. 153.]
246: [115.   65.2]
247: [199.  216.4]
248: [437.  272.9]
249: [ 53.  285.1]
250: [179.  350.3]
251: [156.   18.3]
252: [176.  372.3]
253: [216.  429.4]
254: [197.  375.4]
255: [159.   25.3]
256: [ 60.  326.1]
257: [164.   31.3]
258: [154.   40.3]
259: [144.   80.3]
260: [186.  377.4]
261: [224.   12.4]
262: [269.  239.5]
263: [294.  444.6]
264: [367.  331.7]
265: [482.  337.9]
266: [172.  366.3]
267: [198.  395.4]
268: [63.   4.1]
269: [490. 370.]
270: [238.  497.5]
271: [489. 357.]
272: [ 63.  291.1]
273: [502. 347.]
274: [ 88.  472.2]
275: [393.   95.8]
276: [381.  136.7]
277: [508.  59.]
278: [509. 341.]
279: [502.  71.]
280: [204.   25.4]
281: [492. 336.]
282: [170.  497.3]
283: [328.  341.6]
284: [ 26.  305.1]
