0: [200.  262.4]
1: [351.  478.7]
2: [343.  472.7]
3: [305.  492.6]
4: [303.  500.6]
5: [313.  472.6]
6: [321.  466.6]
7: [292.  503.6]
8: [328.  455.6]
9: [309.   23.6]
10: [302.  509.6]
11: [321.  475.6]
12: [315.  493.6]
13: [304.  470.6]
14: [299.  495.6]
15: [295.  510.6]
16: [312.  500.6]
17: [291.  494.6]
18: [328.  498.6]
19: [307.  506.6]
20: [312.  464.6]
21: [338.  490.7]
22: [291.   31.6]
23: [367.  504.7]
24: [337.  479.7]
25: [301.    5.6]
26: [327.  485.6]
27: [330.  473.6]
28: [306.   14.6]
29: [347.  427.7]
30: [368.  487.7]
31: [321.  457.6]
32: [356.  505.7]
33: [360.  476.7]
34: [320.   16.6]
35: [332.  510.6]
36: [351.    1.7]
37: [341.  503.7]
38: [313.  454.6]
39: [371.  450.7]
40: [337.  451.7]
41: [359.  483.7]
42: [331.  463.6]
43: [364.  458.7]
44: [370.  465.7]
45: [293.   22.6]
46: [326.  447.6]
47: [313.   15.6]
48: [379.  470.7]
49: [347.  508.7]
50: [424.   68.8]
51: [ 76.  451.1]
52: [315.   24.6]
53: [369.  475.7]
54: [362.  450.7]
55: [369.  495.7]
56: [353.    8.7]
57: [354.  427.7]
58: [354.  446.7]
59: [347.  485.7]
60: [324.  510.6]
61: [290.    7.6]
62: [303.   23.6]
63: [341.  440.7]
64: [403.  501.8]
65: [390.    3.8]
66: [348.  453.7]
67: [336.    6.7]
68: [339.  464.7]
69: [315.  509.6]
70: [313.    6.6]
71: [360.  422.7]
72: [357.   16.7]
73: [362.    2.7]
74: [330.   15.6]
75: [297.   13.6]
76: [364.  439.7]
77: [354.  435.7]
78: [354.  466.7]
79: [357.  495.7]
80: [311.  482.6]
81: [330.   69.6]
82: [319.   65.6]
83: [411.   55.8]
84: [314.   88.6]
85: [443.  209.9]
86: [474.  189.9]
87: [369.  413.7]
88: [334.   57.7]
89: [459.   50.9]
90: [ 59.  481.1]
91: [415.  409.8]
92: [ 45.  502.1]
93: [367.  171.7]
94: [424.   82.8]
95: [302.   71.6]
96: [390.  414.8]
97: [394.  456.8]
98: [385.   32.8]
99: [256.   35.5]
100: [251.  470.5]
101: [400.  412.8]
102: [126.  448.2]
103: [281.   11.5]
104: [242.  482.5]
105: [302.  451.6]
106: [ 99.  471.2]
107: [424.  441.8]
108: [ 77.  438.2]
109: [505.  54.]
110: [415.  442.8]
111: [340.   40.7]
112: [378.  115.7]
113: [224.  297.4]
114: [283.  237.6]
115: [106.  396.2]
116: [379.  190.7]
117: [380.  408.7]
118: [496. 156.]
119: [342.   55.7]
120: [285.  201.6]
121: [311.  262.6]
122: [413.  485.8]
123: [404.   57.8]
124: [428.  471.8]
125: [360.  127.7]
126: [ 31.  446.1]
127: [330.  175.6]
128: [266.  257.5]
129: [380.  362.7]
130: [339.  100.7]
131: [ 93.  495.2]
132: [383.  208.7]
133: [198.  410.4]
134: [266.  108.5]
135: [354.  143.7]
136: [397.  443.8]
137: [257.  500.5]
138: [299.  432.6]
139: [229.  477.4]
140: [331.  436.6]
141: [ 72.  429.1]
142: [ 94.  175.2]
143: [467.  108.9]
144: [185.  457.4]
145: [351.  116.7]
146: [ 5. 49.]
147: [502. 137.]
148: [337.  181.7]
149: [75.   1.1]
150: [ 53.  407.1]
151: [456.  206.9]
152: [355.  137.7]
153: [ 48.  452.1]
154: [310.  107.6]
155: [192.  321.4]
156: [465.  452.9]
157: [113.  381.2]
158: [392.  365.8]
159: [ 34.  202.1]
160: [304.  229.6]
161: [337.  121.7]
162: [34.  43.1]
163: [182.  283.4]
164: [206.  211.4]
165: [40.  97.1]
166: [347.  216.7]
167: [463.  211.9]
168: [ 32.  475.1]
169: [493. 446.]
170: [269.  155.5]
171: [45.   9.1]
172: [291.  303.6]
173: [ 87.  488.2]
174: [43.  14.1]
175: [357.  173.7]
176: [ 71.  190.1]
177: [27.  25.1]
178: [367.  125.7]
179: [ 18. 507.]
180: [228.  357.4]
181: [161.  360.3]
182: [488.  45.]
183: [270.  116.5]
184: [217.  275.4]
185: [508. 171.]
186: [343.  130.7]
187: [313.  160.6]
188: [430.  225.8]
189: [223.  353.4]
190: [ 19. 363.]
191: [288.  226.6]
192: [406.  164.8]
193: [168.  360.3]
194: [353.   50.7]
195: [427.  199.8]
196: [327.  131.6]
197: [88.  37.2]
198: [492. 432.]
199: [ 84.  414.2]
200: [357.  374.7]
201: [351.   83.7]
202: [453.  212.9]
203: [338.  345.7]
204: [28.  94.1]
205: [301.  210.6]
206: [ 45.  438.1]
207: [ 82.  398.2]
208: [472.    4.9]
209: [385.  196.8]
210: [222.   56.4]
211: [412.  342.8]
212: [103.   93.2]
213: [392.  220.8]
214: [221.   12.4]
215: [101.   15.2]
216: [316.  126.6]
217: [ 49.  485.1]
218: [50.  88.1]
219: [191.  285.4]
220: [121.  376.2]
221: [129.  505.3]
222: [163.  333.3]
223: [298.  160.6]
224: [309.  239.6]
225: [477.  446.9]
226: [106.  341.2]
227: [431.  412.8]
228: [ 35.  454.1]
229: [325.  242.6]
230: [470.   86.9]
231: [390.  166.8]
232: [237.  190.5]
233: [211.  336.4]
234: [257.   90.5]
235: [292.  151.6]
236: [106.   40.2]
237: [272.  329.5]
238: [300.  174.6]
239: [195.  307.4]
240: [164.  227.3]
241: [325.  179.6]
242: [297.  109.6]
243: [399.  396.8]
244: [428.  158.8]
245: [228.   42.4]
246: [314.  169.6]
247: [285.  380.6]
248: [166.  473.3]
249: [ 96.  504.2]
250: [109.  353.2]
251: [208.  194.4]
252: [131.  337.3]
253: [199.  294.4]
254: [141.  319.3]
255: [320.  233.6]
256: [95.  32.2]
257: [325.  228.6]
258: [346.  209.7]
259: [362.  144.7]
260: [136.  328.3]
261: [158.  179.3]
262: [364.  335.7]
263: [ 74.  176.1]
264: [463.  340.9]
265: [511. 420.]
266: [127.  344.2]
267: [156.  285.3]
268: [267.  188.5]
269: [509. 379.]
270: [151.  217.3]
271: [509. 470.]
272: [108.    0.2]
273: [18. 67.]
274: [202.  185.4]
275: [ 27.  342.1]
276: [ 54.  348.1]
277: [309.  188.6]
278: [18. 56.]
279: [322.  190.6]
280: [346.  272.7]
281: [39.  71.1]
282: [189.  183.4]
283: [ 57.  111.1]
284: [67.  19.1]
285: [384.  169.8]
286: [321.  174.6]
287: [435.  343.8]
288: [176.  198.3]
289: [269.  129.5]
290: [107.    9.2]
291: [95.   6.2]
292: [353.  255.7]
293: [ 70.  383.1]
294: [338.   92.7]
295: [351.  157.7]
296: [204.    9.4]
297: [464.  281.9]
298: [176.  363.3]
299: [ 76.  391.1]
300: [  0. 256.]
301: [ 98.  154.2]
302: [256.  122.5]
303: [189.  210.4]
304: [120.  494.2]
305: [342.  196.7]
306: [325.  273.6]
307: [364.  156.7]
308: [ 16. 415.]
309: [44.  23.1]
310: [288.  146.6]
311: [322.  131.6]
312: [ 38.  491.1]
313: [364.  191.7]
314: [183.  422.4]
315: [57.  13.1]
316: [270.  139.5]
317: [243.  288.5]
318: [361.  301.7]
319: [184.  364.4]
320: [483.  271.9]
321: [101.  383.2]
322: [303.  112.6]
323: [265.  140.5]
324: [275.  149.5]
325: [33.  31.1]
326: [ 71.  368.1]
327: [339.  203.7]
328: [384.  236.8]
329: [355.  322.7]
330: [344.  316.7]
331: [292.  266.6]
332: [374.  229.7]
333: [421.  245.8]
334: [ 33.  462.1]
335: [  0. 508.]
336: [338.  219.7]
337: [295.  284.6]
338: [224.  196.4]
339: [ 30.  402.1]
340: [103.  484.2]
341: [388.  227.8]
342: [301.  119.6]
343: [396.  178.8]
344: [303.  128.6]
345: [ 81.  358.2]
346: [354.   62.7]
347: [ 84.  380.2]
348: [333.  117.7]
349: [441.  241.9]
350: [328.  119.6]
351: [404.  433.8]
352: [413.  202.8]
353: [10.  4.]
354: [489.  26.]
355: [250.   83.5]
356: [346.  140.7]
357: [332.  135.6]
358: [111.  185.2]
359: [462.  477.9]
360: [250.   91.5]
361: [329.  127.6]
362: [ 56.  216.1]
363: [52.   5.1]
364: [ 87.  503.2]
365: [407.  152.8]
366: [312.  231.6]
367: [424.   29.8]
368: [299.  123.6]
369: [344.   88.7]
370: [194.  429.4]
371: [145.  462.3]
372: [ 33.  360.1]
373: [303.  273.6]
374: [154.  356.3]
375: [ 70.  170.1]
376: [361.  199.7]
377: [273.  112.5]
378: [234.  379.5]
379: [316.  244.6]
380: [ 97.  346.2]
381: [397.  340.8]
382: [225.  373.4]
383: [450.   98.9]
384: [249.  435.5]
385: [295.  128.6]
386: [277.  119.5]
387: [192.  349.4]
388: [424.  219.8]
389: [ 17. 126.]
390: [339.  139.7]
391: [498.  61.]
392: [64.   7.1]
393: [122.  165.2]
394: [243.  312.5]
395: [278.  112.5]
396: [ 21. 392.]
397: [321.  165.6]
398: [ 71.  496.1]
399: [496.  79.]
400: [349.  189.7]
401: [164.  381.3]
402: [274.  102.5]
403: [315.  119.6]
404: [462.  500.9]
405: [ 27.  496.1]
406: [ 35.  505.1]
407: [354.  213.7]
408: [337.  330.7]
409: [257.  104.5]
410: [ 77.  407.2]
411: [27.  12.1]
412: [487. 231.]
413: [296.   75.6]
414: [417.  454.8]
415: [305.   88.6]
416: [351.   90.7]
417: [337.   73.7]
418: [322.  121.6]
419: [ 94.  406.2]
420: [ 66.  403.1]
421: [ 12. 476.]
422: [105.  376.2]
423: [263.   88.5]
424: [469.  202.9]
425: [418.   60.8]
426: [271.   80.5]
427: [261.  426.5]
428: [286.  107.6]
429: [374.  202.7]
430: [281.  105.5]
431: [444.  184.9]
432: [360.   61.7]
433: [118.  402.2]
434: [ 51.  130.1]
435: [ 96.  165.2]
436: [173.  352.3]
437: [ 92.  393.2]
438: [378.  330.7]
439: [369.  163.7]
440: [ 70.  161.1]
441: [421.  395.8]
442: [303.  267.6]
443: [132.  356.3]
444: [356.  149.7]
445: [284.  366.6]
446: [ 53.  498.1]
447: [324.  340.6]
448: [107.  410.2]
449: [353.  302.7]
450: [334.  191.7]
451: [351.  134.7]
452: [186.  410.4]
453: [459.   62.9]
454: [392.   72.8]
455: [458.   39.9]
456: [273.   74.5]
457: [333.   43.7]
458: [129.  438.3]
459: [356.   56.7]
460: [365.   17.7]
461: [282.  510.6]
462: [331.  424.6]
463: [348.   53.7]
464: [308.  361.6]
465: [143.  422.3]
466: [423.  494.8]
467: [ 88.  445.2]
468: [441.  499.9]
469: [354.   41.7]
470: [252.   73.5]
471: [321.  373.6]
472: [374.   92.7]
473: [393.  489.8]
474: [273.   42.5]
475: [343.   33.7]
476: [111.  459.2]
477: [213.  379.4]
478: [373.  376.7]
479: [217.  414.4]
480: [322.   79.6]
481: [411.  123.8]
482: [446.   32.9]
483: [274.   61.5]
484: [371.   63.7]
485: [321.  397.6]
486: [312.  406.6]
487: [267.  387.5]
488: [410.   12.8]
489: [395.   26.8]
490: [255.    6.5]
491: [263.  472.5]
492: [371.   18.7]
493: [262.  460.5]
494: [269.  498.5]
495: [296.  479.6]
496: [374.  427.7]
497: [294.  418.6]
498: [212.  479.4]
499: [102.  462.2]
500: [452.   16.9]
501: [340.   18.7]
502: [143.  441.3]
503: [313.   97.6]
504: [244.  415.5]
505: [427.  113.8]
506: [393.  109.8]
507: [438.   99.9]
508: [320.  360.6]
509: [338.   81.7]
510: [ 90.  464.2]
511: [463.  510.9]
512: [ 62.  381.1]
513: [304.  322.6]
514: [261.   96.5]
515: [353.  334.7]
516: [ 40.  162.1]
517: [372.  177.7]
518: [257.   79.5]
519: [429.  240.8]
520: [453.  223.9]
521: [334.   25.7]
522: [343.  393.7]
523: [ 64.  472.1]
524: [358.   86.7]
525: [454.   28.9]
526: [217.  510.4]
527: [ 18. 440.]
528: [427.    0.8]
529: [456.  166.9]
530: [446.   39.9]
531: [290.   71.6]
532: [429.  462.8]
533: [279.  344.5]
534: [458.   81.9]
535: [156.  372.3]
536: [284.  113.6]
537: [ 65.  440.1]
