0: [ 7. 79.]
288: [252.   57.5]
289: [310.  464.6]
290: [195.  294.4]
291: [197.  281.4]
292: [315.   80.6]
293: [ 96.  280.2]
294: [416.  458.8]
295: [397.   14.8]
296: [271.  362.5]
297: [270.  157.5]
298: [ 15. 244.]
299: [191.  138.4]
300: [221.  113.4]
301: [107.  419.2]
302: [319.  450.6]
303: [34.  19.1]
304: [212.  303.4]
305: [414.   31.8]
306: [394.   89.8]
307: [464.  476.9]
308: [228.  198.4]
309: [189.  239.4]
310: [335.  475.7]
311: [391.  483.8]
312: [253.  252.5]
313: [485.  499.9]
314: [298.  184.6]
315: [200.  247.4]
316: [319.  475.6]
317: [458.  115.9]
318: [147.  497.3]
319: [ 16. 231.]
320: [281.  160.5]
321: [ 87.  297.2]
322: [378.  455.7]
323: [313.  472.6]
324: [319.  486.6]
325: [189.  230.4]
326: [173.  129.3]
327: [477.  494.9]
328: [328.   86.6]
329: [120.  405.2]
330: [145.    1.3]
331: [413.   79.8]
332: [361.   71.7]
333: [ 21. 340.]
334: [237.  229.5]
335: [165.  292.3]
336: [471.   13.9]
337: [24. 15.]
338: [313.   46.6]
339: [226.  187.4]
340: [240.  266.5]
341: [346.   88.7]
342: [371.  459.7]
343: [ 10. 482.]
344: [344.  483.7]
345: [ 80.  271.2]
346: [446.  377.9]
347: [ 93.  289.2]
348: [409.  465.8]
349: [401.  139.8]
350: [405.  473.8]
351: [290.  217.6]
352: [ 41.  450.1]
353: [209.  214.4]
354: [214.  167.4]
355: [328.  420.6]
356: [437.  463.9]
357: [405.  490.8]
358: [121.   30.2]
359: [128.  263.2]
360: [308.  424.6]
361: [412.  482.8]
362: [162.   77.3]
363: [208.  245.4]
364: [210.  275.4]
365: [207.  504.4]
366: [376.   56.7]
367: [388.  176.8]
368: [367.  465.7]
369: [423.  464.8]
370: [296.  192.6]
371: [239.  311.5]
372: [114.  258.2]
373: [282.   75.6]
374: [ 37.  239.1]
375: [507. 258.]
376: [490.   1.]
377: [339.  457.7]
378: [373.  154.7]
379: [497.  31.]
380: [ 76.  235.1]
381: [145.  328.3]
382: [506. 284.]
383: [ 30.  328.1]
384: [267.  348.5]
385: [361.  469.7]
386: [340.  468.7]
387: [  4. 212.]
