0: [384.  209.8]
1: [354.   14.7]
2: [323.   14.6]
3: [300.  499.6]
4: [304.  496.6]
5: [295.   15.6]
6: [298.   25.6]
7: [302.  487.6]
8: [260.   21.5]
9: [317.  476.6]
10: [311.  485.6]
11: [300.    2.6]
12: [320.  503.6]
13: [287.   19.6]
14: [293.  487.6]
15: [305.  477.6]
16: [311.  497.6]
17: [291.  494.6]
18: [338.  501.7]
19: [316.  490.6]
20: [276.   18.5]
21: [325.    0.6]
22: [314.  456.6]
23: [357.    0.7]
24: [319.    0.6]
25: [315.  466.6]
26: [308.    0.6]
27: [313.    4.6]
28: [323.  480.6]
29: [224.   49.4]
30: [342.    9.7]
31: [271.   28.5]
32: [344.    0.7]
33: [332.   29.6]
34: [327.  486.6]
35: [333.  490.7]
36: [368.  493.7]
37: [345.  494.7]
38: [283.   29.6]
39: [263.   82.5]
40: [270.   41.5]
41: [346.   20.7]
42: [306.   14.6]
43: [269.   70.5]
44: [312.   52.6]
45: [307.  464.6]
46: [255.   30.5]
47: [333.  475.7]
48: [324.   48.6]
49: [352.  487.7]
50: [395.  491.8]
51: [120.  184.2]
52: [326.  468.6]
53: [334.   39.7]
54: [251.   71.5]
55: [349.    2.7]
56: [366.  483.7]
57: [210.   54.4]
58: [255.   55.5]
59: [330.    4.6]
60: [323.  493.6]
61: [298.  456.6]
62: [321.  459.6]
63: [237.   22.5]
64: [385.   27.8]
65: [377.    3.7]
66: [268.   52.5]
67: [339.  483.7]
68: [317.   23.6]
69: [285.  477.6]
70: [292.  475.6]
71: [212.   39.4]
72: [373.  486.7]
73: [359.  496.7]
74: [341.  470.7]
75: [296.  463.6]
76: [238.   48.5]
77: [226.   32.4]
78: [315.   34.6]
79: [336.    0.7]
80: [286.    5.6]
81: [314.  436.6]
82: [335.  406.7]
83: [217.  410.4]
84: [322.  385.6]
85: [199.  266.4]
86: [502. 474.]
87: [135.  145.3]
88: [335.  443.7]
89: [429.    4.8]
90: [ 93.  190.2]
91: [105.  223.2]
92: [ 58.  213.1]
93: [397.  342.8]
94: [416.  487.8]
95: [322.  424.6]
96: [237.   74.5]
97: [322.   59.6]
98: [379.  477.7]
99: [270.  424.5]
100: [260.    0.5]
101: [223.   83.4]
102: [ 95.  127.2]
103: [291.  448.6]
104: [257.  486.5]
105: [283.   39.6]
106: [105.  148.2]
107: [393.   33.8]
108: [131.  190.3]
109: [457.   30.9]
110: [390.   45.8]
111: [356.  458.7]
112: [413.  419.8]
113: [ 14. 345.]
114: [423.  247.8]
115: [14. 66.]
116: [397.  422.8]
117: [278.   86.5]
118: [477.   10.9]
119: [355.  447.7]
120: [373.  281.7]
121: [451.  282.9]
122: [109.    5.2]
123: [395.  472.8]
124: [476.   41.9]
125: [366.  392.7]
126: [ 67.  218.1]
127: [270.  265.5]
128: [445.  318.9]
129: [ 29.  209.1]
130: [338.  411.7]
131: [ 63.  160.1]
132: [446.  424.9]
133: [180.  226.4]
134: [280.  352.5]
135: [359.  377.7]
136: [164.  120.3]
137: [261.  472.5]
138: [264.    7.5]
139: [247.  489.5]
140: [243.   30.5]
141: [397.   42.8]
142: [ 31.  289.1]
143: [422.    0.8]
144: [101.   70.2]
145: [360.  397.7]
146: [452.   37.9]
147: [21. 24.]
148: [394.  314.8]
149: [431.   91.8]
150: [489.  65.]
151: [494.   7.]
152: [363.  381.7]
153: [ 27.  194.1]
154: [330.  363.6]
155: [ 50.  399.1]
156: [379.  144.7]
157: [100.  250.2]
158: [153.    0.3]
159: [ 59.  248.1]
160: [431.  348.8]
161: [349.  358.7]
162: [406.  109.8]
163: [ 41.  348.1]
164: [440.  306.9]
165: [332.  114.6]
166: [261.  267.5]
167: [487.   1.]
168: [ 34.  181.1]
169: [367.  130.7]
170: [330.  290.6]
171: [453.   75.9]
172: [494. 426.]
173: [ 67.  171.1]
174: [447.   79.9]
175: [407.  356.8]
176: [ 51.  273.1]
177: [402.   81.8]
178: [384.  400.8]
179: [482.   70.9]
180: [ 26.  488.1]
181: [ 89.  454.2]
182: [478.   28.9]
183: [278.  344.5]
184: [  0. 362.]
185: [0. 9.]
186: [355.  372.7]
187: [368.  315.7]
188: [211.  247.4]
189: [ 33.  488.1]
190: [349.  154.7]
191: [424.  273.8]
192: [236.  279.5]
193: [ 74.  451.1]
194: [368.  445.7]
195: [217.  284.4]
196: [356.  355.7]
197: [380.   80.7]
198: [370.  119.7]
199: [118.  232.2]
200: [182.  100.4]
201: [246.  375.5]
202: [507.   1.]
203: [52.  23.1]
204: [315.  105.6]
205: [406.  289.8]
206: [ 37.  112.1]
207: [ 5. 76.]
208: [103.  234.2]
209: [420.  422.8]
210: [253.  389.5]
211: [293.  120.6]
212: [134.  366.3]
213: [454.  441.9]
214: [250.  414.5]
215: [467.   94.9]
216: [333.  356.7]
217: [ 54.  165.1]
218: [485.  162.9]
219: [ 36.  355.1]
220: [ 88.  237.2]
221: [ 27.  145.1]
222: [ 79.  409.2]
223: [351.  317.7]
224: [439.  338.9]
225: [384.  135.8]
226: [112.  368.2]
227: [308.  111.6]
228: [ 39.  194.1]
229: [456.  356.9]
230: [193.  258.4]
231: [251.  250.5]
