0: [406.  130.8]
1: [164.  299.3]
2: [191.  308.4]
3: [166.  270.3]
4: [160.  264.3]
5: [198.  287.4]
6: [196.  298.4]
7: [169.  254.3]
8: [200.  311.4]
9: [137.  234.3]
10: [153.  252.3]
11: [189.  295.4]
12: [161.  276.3]
13: [200.  280.4]
14: [164.  260.3]
15: [160.  249.3]
16: [154.  267.3]
17: [171.  263.3]
18: [145.  269.3]
19: [150.  258.3]
20: [203.  293.4]
21: [166.  285.3]
22: [143.  213.3]
23: [136.  286.3]
24: [172.  295.3]
25: [153.  243.3]
26: [176.  284.3]
27: [179.  296.3]
28: [144.  239.3]
29: [201.  342.4]
30: [146.  298.3]
31: [202.  304.4]
32: [139.  279.3]
33: [160.  306.3]
34: [134.  244.3]
35: [131.  259.3]
36: [122.  268.2]
37: [133.  271.3]
38: [211.  302.4]
39: [161.  332.3]
40: [195.  318.4]
41: [154.  299.3]
42: [184.  305.4]
43: [165.  325.3]
44: [156.  322.3]
45: [148.  219.3]
46: [207.  316.4]
47: [143.  246.3]
48: [145.  316.3]
49: [125.  275.2]
50: [ 52.  269.1]
51: [163.  344.3]
52: [130.  235.3]
53: [153.  312.3]
54: [172.  331.3]
55: [140.  293.3]
56: [115.  264.2]
57: [194.  346.4]
58: [182.  330.4]
59: [161.  292.3]
60: [140.  256.3]
61: [155.  227.3]
62: [139.  226.3]
63: [205.  331.4]
64: [ 85.  306.2]
65: [ 89.  288.2]
66: [183.  321.4]
67: [123.  256.2]
68: [177.  305.3]
69: [169.  245.3]
70: [164.  237.3]
71: [189.  351.4]
72: [ 94.  254.2]
73: [113.  274.2]
74: [123.  245.2]
75: [150.  232.3]
76: [177.  340.3]
77: [190.  338.4]
78: [169.  313.3]
79: [149.  287.3]
80: [190.  285.4]
81: [161.  137.3]
82: [156.  114.3]
83: [ 72.  268.1]
84: [135.  125.3]
85: [146.    9.3]
86: [505. 510.]
87: [252.  350.5]
88: [177.  130.3]
89: [ 25. 312.]
90: [150.  364.3]
91: [ 73.  350.1]
92: [141.  372.3]
93: [79.  64.2]
94: [204.   54.4]
95: [143.  132.3]
96: [126.  340.2]
97: [124.  325.2]
98: [ 84.  253.2]
99: [156.  188.3]
100: [210.  239.4]
101: [118.  341.2]
102: [213.  357.4]
103: [158.  219.3]
104: [205.  229.4]
105: [213.  285.4]
106: [183.  359.4]
107: [ 65.  348.1]
108: [127.  347.2]
109: [ 35.  404.1]
110: [ 72.  341.1]
111: [103.  225.2]
112: [162.   76.3]
113: [409.   83.8]
114: [501. 108.]
115: [290.  430.6]
116: [92.  45.2]
117: [265.  336.5]
118: [256.   52.5]
119: [101.  216.2]
120: [ 27.  108.1]
121: [497.  78.]
122: [ 76.  329.1]
123: [ 68.  253.1]
124: [ 34.  357.1]
125: [93.  64.2]
126: [130.  354.3]
127: [45.  82.1]
128: [471.  102.9]
129: [188.  462.4]
130: [145.  102.3]
131: [179.  388.3]
132: [111.   33.2]
133: [261.  489.5]
134: [ 99.  164.2]
135: [96.  76.2]
136: [132.  329.3]
137: [188.  225.4]
138: [222.  275.4]
139: [129.  295.3]
140: [218.  331.4]
141: [102.  349.2]
142: [442.    2.9]
143: [234.   55.5]
144: [264.  319.5]
145: [145.   88.3]
146: [ 46.  394.1]
147: [ 24. 480.]
148: [58.  69.1]
149: [154.  391.3]
150: [506. 406.]
151: [239.   91.5]
152: [89.  67.2]
153: [202.  430.4]
154: [113.  118.2]
155: [393.   41.8]
156: [ 71.  430.1]
157: [488. 446.]
158: [290.  374.6]
159: [ 47.  468.1]
160: [15. 77.]
161: [118.   95.2]
162: [105.  407.2]
163: [376.  127.7]
164: [479.  100.9]
165: [412.  397.8]
166: [36.  43.1]
167: [241.   82.5]
168: [200.  421.4]
169: [ 74.  418.1]
170: [ 49.  134.1]
171: [132.  385.3]
172: [482.   23.9]
173: [172.  375.3]
174: [128.  388.2]
175: [70.  61.1]
176: [265.  146.5]
177: [113.  389.2]
178: [108.   60.2]
179: [108.  382.2]
180: [ 66.  485.1]
181: [ 71.  472.1]
182: [ 18. 352.]
183: [ 95.  163.2]
184: [413.   96.8]
185: [268.   63.5]
186: [86.  77.2]
187: [59.  95.1]
188: [235.  116.5]
189: [ 73.  488.1]
190: [422.  424.8]
191: [510. 100.]
192: [126.   35.2]
193: [ 71.  479.1]
194: [192.  121.4]
195: [107.   15.2]
196: [104.   94.2]
197: [143.  429.3]
198: [ 80.  411.2]
199: [489. 392.]
200: [211.  461.4]
201: [ 91.  203.2]
202: [239.   99.5]
203: [277.  493.5]
204: [426.  395.8]
205: [18. 96.]
206: [406.  365.8]
207: [299.  404.6]
208: [502. 388.]
209: [167.   56.3]
210: [183.  155.4]
211: [160.  461.3]
212: [329.  479.6]
213: [106.   27.2]
214: [196.  177.4]
215: [166.  423.3]
216: [108.  107.2]
217: [191.  405.4]
218: [135.  451.3]
219: [383.  119.7]
220: [480.  451.9]
221: [370.  367.7]
222: [340.   68.7]
223: [ 79.  109.2]
224: [ 7. 72.]
225: [ 80.  430.2]
226: [346.   10.7]
227: [459.  387.9]
228: [132.  361.3]
229: [ 9. 56.]
230: [184.    1.4]
231: [139.   45.3]
232: [  9. 107.]
233: [455.  509.9]
234: [105.  179.2]
235: [ 67.  125.1]
236: [152.  435.3]
237: [462.   10.9]
238: [110.   86.2]
239: [364.  100.7]
240: [451.   40.9]
241: [107.   76.2]
242: [107.  132.2]
243: [205.  441.4]
244: [130.   22.3]
245: [192.  145.4]
246: [104.   87.2]
247: [249.  498.5]
248: [406.  345.8]
249: [173.  395.3]
250: [ 89.  475.2]
251: [487. 191.]
252: [344.   44.7]
253: [385.  107.8]
254: [390.    6.8]
255: [500. 201.]
256: [149.  426.3]
257: [17. 61.]
258: [46.  48.1]
