0: [446.  145.9]
1: [287.  506.6]
2: [281.  494.5]
3: [251.   56.5]
4: [243.   62.5]
5: [252.    1.5]
6: [258.  502.5]
7: [236.   53.5]
8: [259.  487.5]
9: [234.   95.5]
10: [240.   73.5]
11: [261.  510.5]
12: [257.   58.5]
13: [244.    5.5]
14: [241.   57.5]
15: [235.   71.5]
16: [250.   67.5]
17: [247.   50.5]
18: [260.   68.5]
19: [246.   75.5]
20: [246.  507.5]
21: [278.    5.5]
22: [215.   95.4]
23: [295.   66.6]
24: [276.  507.5]
25: [236.   80.5]
26: [269.    6.5]
27: [269.  502.5]
28: [236.   88.5]
29: [240.  454.5]
30: [291.   55.6]
31: [254.  494.5]
32: [287.   66.6]
33: [294.  499.6]
34: [248.   95.5]
35: [261.   90.5]
36: [280.   93.5]
37: [272.   89.5]
38: [246.  497.5]
39: [285.  450.6]
40: [263.  476.5]
41: [297.  510.6]
42: [267.  491.5]
43: [288.  460.6]
44: [306.  486.6]
45: [218.   88.4]
46: [252.  483.5]
47: [244.   87.5]
48: [318.  493.6]
49: [281.   84.5]
50: [300.  199.6]
51: [204.  451.4]
52: [239.   99.5]
53: [306.  499.6]
54: [274.  449.5]
55: [297.   58.6]
56: [281.  101.5]
57: [239.  444.5]
58: [263.  455.5]
59: [286.    5.6]
60: [255.   83.5]
61: [223.   76.4]
62: [227.   96.4]
63: [249.  466.5]
64: [317.   65.6]
65: [306.   85.6]
66: [272.  467.5]
67: [266.   99.5]
68: [274.  486.5]
69: [228.   57.4]
70: [225.   65.4]
71: [230.  440.4]
72: [288.  134.6]
73: [292.   90.6]
74: [255.  103.5]
75: [227.   83.4]
76: [265.  437.5]
77: [251.  442.5]
78: [288.  479.6]
79: [284.   56.6]
80: [256.    9.5]
81: [211.  145.4]
82: [204.  152.4]
83: [301.  152.6]
84: [186.  142.4]
85: [ 97.  296.2]
86: [ 67.  304.1]
87: [202.  477.4]
88: [224.  138.4]
89: [341.  102.7]
90: [190.  442.4]
91: [289.  370.6]
92: [161.  455.3]
93: [170.  229.3]
94: [286.  214.6]
95: [191.  135.4]
96: [269.  416.5]
97: [334.  486.7]
98: [288.  143.6]
99: [188.   87.4]
100: [271.   40.5]
101: [292.  410.6]
102: [203.  391.4]
103: [214.   78.4]
104: [272.   56.5]
105: [235.  498.5]
106: [218.  439.4]
107: [279.  362.5]
108: [157.  488.3]
109: [341.  326.7]
110: [273.  372.5]
111: [238.  125.5]
112: [217.  200.4]
113: [453.   96.9]
114: [ 30.  133.1]
115: [362.  261.7]
116: [174.  238.3]
117: [312.  434.6]
118: [276.  258.5]
119: [235.  134.5]
120: [ 78.  181.2]
121: [ 39.  240.1]
122: [348.    1.7]
123: [291.  168.6]
124: [297.  332.6]
125: [184.  220.4]
126: [157.  479.3]
127: [128.  217.2]
128: [507. 156.]
129: [128.  497.2]
130: [200.  171.4]
131: [179.  420.3]
132: [168.  254.3]
133: [136.    9.3]
134: [141.  105.3]
135: [183.  203.4]
136: [335.  465.7]
137: [269.   77.5]
138: [274.   18.5]
139: [286.   43.6]
140: [239.  473.5]
141: [311.  402.6]
142: [417.  226.8]
143: [296.  230.6]
144: [208.  372.4]
145: [200.  180.4]
146: [350.  343.7]
147: [348.   71.7]
148: [120.  219.2]
149: [160.  436.3]
150: [357.  301.7]
151: [220.  285.4]
152: [184.  214.4]
153: [181.  474.4]
154: [163.  161.3]
155: [ 12. 296.]
156: [435.  411.8]
157: [ 77.  372.2]
158: [123.  369.2]
159: [ 62.  354.1]
160: [ 56.  205.1]
161: [171.  188.3]
162: [ 74.  453.1]
163: [429.  104.8]
164: [ 21. 105.]
165: [ 52.  426.1]
166: [ 90.  235.2]
167: [220.  293.4]
168: [180.  467.4]
169: [403.  347.8]
170: [104.  142.2]
171: [134.  449.3]
172: [ 31.  273.1]
173: [182.  430.4]
174: [128.  451.2]
175: [155.  230.3]
176: [429.  245.8]
177: [113.  465.2]
178: [190.  216.4]
179: [121.  467.2]
180: [381.  196.7]
181: [373.   65.7]
182: [286.  322.6]
183: [137.  109.3]
184: [465.   97.9]
185: [345.  134.7]
186: [174.  209.3]
187: [118.  182.2]
188: [115.  303.2]
189: [391.  209.8]
190: [482.  433.9]
191: [ 40.  196.1]
192: [127.  265.2]
193: [374.   76.7]
194: [239.  169.5]
195: [ 98.  281.2]
196: [153.  184.3]
197: [109.  418.2]
198: [385.  349.8]
199: [290.  352.6]
200: [362.  481.7]
201: [139.   56.3]
202: [215.  286.4]
203: [111.  351.2]
204: [356.  324.7]
205: [ 69.  196.1]
206: [173.  481.3]
207: [100.  380.2]
208: [286.  340.6]
209: [220.  228.4]
210: [145.   69.3]
211: [ 83.  504.2]
212: [423.  304.8]
213: [176.  261.3]
214: [180.   41.4]
215: [131.  416.3]
216: [152.  173.3]
217: [177.  452.3]
218: [ 72.  412.1]
219: [423.  148.8]
220: [ 68.  374.1]
221: [154.  395.3]
222: [ 16. 319.]
223: [112.  173.2]
224: [ 50.  215.1]
225: [420.  411.8]
226: [ 11. 366.]
227: [361.  312.7]
228: [156.  471.3]
229: [ 61.  238.1]
230: [108.  326.2]
231: [153.  257.3]
