0: [341.   26.7]
1: [141.  181.3]
2: [160.  167.3]
3: [120.  131.2]
4: [113.  126.2]
5: [146.  144.3]
6: [153.  152.3]
7: [115.  114.2]
8: [164.  159.3]
9: [114.   78.2]
10: [100.  123.2]
11: [142.  151.3]
12: [122.  138.2]
13: [149.  135.3]
14: [113.  120.2]
15: [101.  115.2]
16: [111.  135.2]
17: [122.  122.2]
18: [114.  147.2]
19: [104.  128.2]
20: [155.  143.3]
21: [125.  163.2]
22: [94.  76.2]
23: [111.  191.2]
24: [139.  163.3]
25: [ 91.  120.2]
26: [130.  153.3]
27: [147.  160.3]
28: [ 89.  128.2]
29: [193.  167.4]
30: [129.  193.3]
31: [162.  151.3]
32: [109.  179.2]
33: [145.  198.3]
34: [ 87.  141.2]
35: [102.  147.2]
36: [ 99.  172.2]
37: [112.  160.2]
38: [168.  145.3]
39: [189.  207.4]
40: [171.  168.3]
41: [139.  190.3]
42: [152.  167.3]
43: [174.  201.3]
44: [167.  210.3]
45: [99.  83.2]
46: [171.  156.3]
47: [ 83.  132.2]
48: [173.  224.3]
49: [106.  167.2]
50: [114.  491.2]
51: [206.  276.4]
52: [117.   71.2]
53: [154.  210.3]
54: [183.  196.4]
55: [120.  193.2]
56: [ 90.  176.2]
57: [200.  166.4]
58: [179.  186.3]
59: [134.  174.3]
60: [ 99.  137.2]
61: [ 90.  110.2]
62: [107.   77.2]
63: [183.  166.4]
64: [161.  511.3]
65: [145.   18.3]
66: [170.  180.3]
67: [ 96.  156.2]
68: [149.  174.3]
69: [110.  106.2]
70: [101.  103.2]
71: [202.  175.4]
72: [118.   29.2]
73: [100.  187.2]
74: [ 87.  153.2]
75: [ 83.  115.2]
76: [192.  190.4]
77: [189.  178.4]
78: [156.  187.3]
79: [121.  179.2]
80: [138.  141.3]
81: [72.  45.1]
82: [56.  33.1]
83: [ 57.  229.1]
84: [43.  52.1]
85: [374.  198.7]
86: [311.  124.6]
87: [217.  169.4]
88: [85.  38.2]
89: [395.  256.8]
90: [208.  303.4]
91: [307.  230.6]
92: [229.  281.4]
93: [447.  139.9]
94: [503. 248.]
95: [52.  54.1]
96: [212.  249.4]
97: [154.  292.3]
98: [113.   14.2]
99: [ 73.  114.1]
100: [153.   93.3]
101: [174.  291.3]
102: [410.  328.8]
103: [ 89.  101.2]
104: [145.   87.3]
105: [165.  133.3]
106: [380.  334.7]
107: [313.  221.6]
108: [191.  293.4]
109: [ 87.  328.2]
110: [301.  218.6]
111: [100.   38.2]
112: [43.  11.1]
113: [318.   60.6]
114: [397.   80.8]
115: [ 20. 292.]
116: [496. 199.]
117: [227.  171.4]
118: [347.  210.7]
119: [91.  42.2]
120: [435.   81.8]
121: [381.  108.7]
122: [235.  142.5]
123: [110.    2.2]
